 program J1J2_6          
 spatial system size               10
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.477702E+00 0.247651E+00 0.791146E-01 0.204831E+00 0.710038E+00 0.384295E+00 0.922271E+00 0.999897E-02 0.127975E-01 0.247257E-01 0.265022E+00 0.111699E+00 0.302247E-01 0.480928E+00 0.195961E-01 0.302431E+00 0.135952E+00 0.418394E-01 0.517903E+00 0.177415E-01 0.477916E-01 0.273577E-02 0.357406E+00 0.343622E-01
 0.818421E+01 0.457112E+00 0.229845E+00 0.705124E-01 0.192147E+00 0.665263E+00 0.416836E+00 0.904165E+00 0.119403E-01 0.132219E-01 0.252065E-01 0.252694E+00 0.103614E+00 0.268753E-01 0.465187E+00 0.202430E-01 0.288024E+00 0.126230E+00 0.378030E-01 0.502087E+00 0.184873E-01 0.427622E-01 0.252787E-02 0.354059E+00 0.345164E-01
 0.836842E+01 0.435945E+00 0.212277E+00 0.624817E-01 0.179218E+00 0.613418E+00 0.449542E+00 0.882862E+00 0.139325E-01 0.135895E-01 0.257088E-01 0.240261E+00 0.956340E-01 0.237101E-01 0.448645E+00 0.208293E-01 0.273435E+00 0.116643E+00 0.339773E-01 0.485109E+00 0.192203E-01 0.381096E-01 0.232321E-02 0.352488E+00 0.347173E-01
 0.855263E+01 0.414397E+00 0.195111E+00 0.550571E-01 0.166211E+00 0.553724E+00 0.481840E+00 0.857942E+00 0.159542E-01 0.138799E-01 0.259057E-01 0.227853E+00 0.878211E-01 0.207395E-01 0.431222E+00 0.214041E-01 0.258771E+00 0.107290E+00 0.304003E-01 0.467487E+00 0.197718E-01 0.338571E-01 0.212375E-02 0.352768E+00 0.349742E-01
 0.873684E+01 0.392582E+00 0.178447E+00 0.482430E-01 0.153234E+00 0.484993E+00 0.513478E+00 0.829210E+00 0.179382E-01 0.140856E-01 0.259294E-01 0.215472E+00 0.802099E-01 0.179913E-01 0.413942E+00 0.217846E-01 0.244178E+00 0.982373E-01 0.270689E-01 0.448648E+00 0.202943E-01 0.299942E-01 0.193002E-02 0.354704E+00 0.352104E-01
 0.892105E+01 0.370487E+00 0.162283E+00 0.419995E-01 0.140362E+00 0.405225E+00 0.542595E+00 0.796198E+00 0.199534E-01 0.142061E-01 0.262603E-01 0.203115E+00 0.727978E-01 0.154459E-01 0.395958E+00 0.220744E-01 0.229605E+00 0.894850E-01 0.239831E-01 0.429049E+00 0.206723E-01 0.264897E-01 0.174242E-02 0.358782E+00 0.354474E-01
 0.910526E+01 0.348349E+00 0.146776E+00 0.363478E-01 0.127720E+00 0.312803E+00 0.568127E+00 0.758664E+00 0.218881E-01 0.142325E-01 0.271059E-01 0.190829E+00 0.656382E-01 0.131257E-01 0.377781E+00 0.222271E-01 0.215305E+00 0.811381E-01 0.211528E-01 0.408613E+00 0.209708E-01 0.233562E-01 0.156625E-02 0.365107E+00 0.356577E-01
 0.928947E+01 0.326349E+00 0.132017E+00 0.312639E-01 0.115502E+00 0.206163E+00 0.586763E+00 0.716642E+00 0.237583E-01 0.141642E-01 0.277750E-01 0.178755E+00 0.588184E-01 0.110405E-01 0.358527E+00 0.223241E-01 0.201237E+00 0.731986E-01 0.185691E-01 0.386893E+00 0.211746E-01 0.205315E-01 0.139523E-02 0.373136E+00 0.358015E-01
 0.947368E+01 0.304754E+00 0.118172E+00 0.267682E-01 0.103864E+00 0.831375E-01 0.597391E+00 0.670429E+00 0.254782E-01 0.140133E-01 0.279581E-01 0.166946E+00 0.523777E-01 0.919332E-02 0.339519E+00 0.221891E-01 0.187636E+00 0.657941E-01 0.162571E-01 0.364735E+00 0.212321E-01 0.180192E-01 0.123929E-02 0.383057E+00 0.359029E-01
 0.965789E+01 0.283743E+00 0.105280E+00 0.228007E-01 0.928839E-01 -.570930E-01 0.599715E+00 0.620125E+00 0.271162E-01 0.137761E-01 0.277619E-01 0.155450E+00 0.463338E-01 0.756739E-02 0.319381E+00 0.219936E-01 0.174623E+00 0.589465E-01 0.141869E-01 0.342541E+00 0.210960E-01 0.157929E-01 0.109401E-02 0.394992E+00 0.359392E-01
