 iconf, T, nbar, nbar2, nbar4, nbinder
   4 0.103947E+02 -.263324E+00 0.748118E-01 0.717727E-02 0.572537E+00
   4 0.105789E+02 -.253306E+00 0.694836E-01 0.625346E-02 0.568248E+00
   4 0.107632E+02 -.244388E+00 0.649546E-01 0.553035E-02 0.563070E+00
   4 0.109474E+02 -.235415E+00 0.605865E-01 0.487370E-02 0.557425E+00
   4 0.111316E+02 -.228209E+00 0.571166E-01 0.436739E-02 0.553752E+00
   4 0.113158E+02 -.220597E+00 0.535690E-01 0.387317E-02 0.550097E+00
   4 0.115000E+02 -.214669E+00 0.509565E-01 0.354806E-02 0.544519E+00
   5 0.800000E+01 0.143855E+01 0.207664E+01 0.437218E+01 0.662048E+00
   5 0.818421E+01 0.139537E+01 0.195440E+01 0.387690E+01 0.661671E+00
   5 0.836842E+01 0.135065E+01 0.183178E+01 0.341039E+01 0.661205E+00
   5 0.855263E+01 0.130452E+01 0.170945E+01 0.297457E+01 0.660696E+00
   5 0.873684E+01 0.125752E+01 0.158928E+01 0.257599E+01 0.660043E+00
   5 0.892105E+01 0.120827E+01 0.146803E+01 0.220257E+01 0.659327E+00
   5 0.910526E+01 0.115802E+01 0.134921E+01 0.186455E+01 0.658579E+00
   5 0.928947E+01 0.110724E+01 0.123424E+01 0.156398E+01 0.657775E+00
   5 0.947368E+01 0.105570E+01 0.112284E+01 0.129812E+01 0.656794E+00
   5 0.965789E+01 0.100595E+01 0.102016E+01 0.107424E+01 0.655932E+00
   5 0.984211E+01 0.958385E+00 0.926472E+00 0.887850E+00 0.655211E+00
   5 0.100263E+02 0.914122E+00 0.843319E+00 0.737147E+00 0.654500E+00
   5 0.102105E+02 0.872854E+00 0.769289E+00 0.614608E+00 0.653823E+00
   5 0.103947E+02 0.834944E+00 0.704256E+00 0.515988E+00 0.653217E+00
   5 0.105789E+02 0.800078E+00 0.647117E+00 0.436788E+00 0.652316E+00
   5 0.107632E+02 0.766021E+00 0.593667E+00 0.368716E+00 0.651273E+00
   5 0.109474E+02 0.734641E+00 0.546455E+00 0.313293E+00 0.650280E+00
   5 0.111316E+02 0.703120E+00 0.501125E+00 0.264567E+00 0.648826E+00
   5 0.113158E+02 0.673617E+00 0.460328E+00 0.223927E+00 0.647752E+00
   5 0.115000E+02 0.644592E+00 0.422001E+00 0.189004E+00 0.646230E+00
   6 0.800000E+01 0.633788E+00 0.408303E+00 0.177424E+00 0.645248E+00
   6 0.818421E+01 0.631709E+00 0.405899E+00 0.175760E+00 0.644400E+00
   6 0.836842E+01 0.629531E+00 0.403234E+00 0.173676E+00 0.643957E+00
   6 0.855263E+01 0.627324E+00 0.400541E+00 0.171557E+00 0.643554E+00
   6 0.873684E+01 0.624343E+00 0.396990E+00 0.168891E+00 0.642788E+00
   6 0.892105E+01 0.621230E+00 0.393210E+00 0.165950E+00 0.642227E+00
   6 0.910526E+01 0.616716E+00 0.387685E+00 0.161581E+00 0.641647E+00
   6 0.928947E+01 0.611283E+00 0.381110E+00 0.156451E+00 0.640949E+00
   6 0.947368E+01 0.605605E+00 0.374202E+00 0.151074E+00 0.640371E+00
   6 0.965789E+01 0.598316E+00 0.365514E+00 0.144457E+00 0.639579E+00
   6 0.984211E+01 0.589286E+00 0.354845E+00 0.136534E+00 0.638554E+00
   6 0.100263E+02 0.578273E+00 0.341898E+00 0.127009E+00 0.637825E+00
   6 0.102105E+02 0.565973E+00 0.327837E+00 0.117187E+00 0.636552E+00
   6 0.103947E+02 0.551849E+00 0.311973E+00 0.106441E+00 0.635453E+00
   6 0.105789E+02 0.535151E+00 0.293842E+00 0.949733E-01 0.633350E+00
   6 0.107632E+02 0.516776E+00 0.274448E+00 0.833059E-01 0.631334E+00
   6 0.109474E+02 0.497107E+00 0.254396E+00 0.720101E-01 0.629103E+00
   6 0.111316E+02 0.476461E+00 0.234260E+00 0.615568E-01 0.626098E+00
   6 0.113158E+02 0.455301E+00 0.214432E+00 0.519955E-01 0.623067E+00
   6 0.115000E+02 0.433750E+00 0.195225E+00 0.435387E-01 0.619212E+00
   7 0.800000E+01 -.791605E+00 0.633075E+00 0.416989E+00 0.653189E+00
   7 0.818421E+01 -.785725E+00 0.623854E+00 0.405309E+00 0.652865E+00
   7 0.836842E+01 -.778759E+00 0.613063E+00 0.391921E+00 0.652411E+00
   7 0.855263E+01 -.771913E+00 0.602493E+00 0.378923E+00 0.652043E+00
   7 0.873684E+01 -.764304E+00 0.590868E+00 0.364866E+00 0.651638E+00
   7 0.892105E+01 -.757025E+00 0.579956E+00 0.352186E+00 0.650972E+00
   7 0.910526E+01 -.748800E+00 0.567659E+00 0.337944E+00 0.650419E+00
   7 0.928947E+01 -.741101E+00 0.556282E+00 0.325040E+00 0.649874E+00
   7 0.947368E+01 -.732690E+00 0.543899E+00 0.311091E+00 0.649466E+00
   7 0.965789E+01 -.723970E+00 0.531253E+00 0.297262E+00 0.648913E+00
   7 0.984211E+01 -.715915E+00 0.519697E+00 0.284828E+00 0.648471E+00
   7 0.100263E+02 -.705348E+00 0.504675E+00 0.269033E+00 0.647904E+00
   7 0.102105E+02 -.694662E+00 0.489687E+00 0.253643E+00 0.647414E+00
   7 0.103947E+02 -.683446E+00 0.474214E+00 0.238231E+00 0.646875E+00
   7 0.105789E+02 -.668883E+00 0.454422E+00 0.219117E+00 0.646299E+00
   7 0.107632E+02 -.653505E+00 0.433899E+00 0.199994E+00 0.645906E+00
   7 0.109474E+02 -.637111E+00 0.412745E+00 0.181501E+00 0.644865E+00
   7 0.111316E+02 -.618768E+00 0.389681E+00 0.162334E+00 0.643655E+00
   7 0.113158E+02 -.600023E+00 0.366715E+00 0.144175E+00 0.642636E+00
   7 0.115000E+02 -.580170E+00 0.343231E+00 0.126799E+00 0.641226E+00
   8 0.800000E+01 -.764876E+00 0.592455E+00 0.368441E+00 0.650106E+00
   8 0.818421E+01 -.743411E+00 0.560054E+00 0.330074E+00 0.649224E+00
   8 0.836842E+01 -.720848E+00 0.526950E+00 0.293022E+00 0.648245E+00
   8 0.855263E+01 -.697971E+00 0.494494E+00 0.258893E+00 0.647080E+00
   8 0.873684E+01 -.674645E+00 0.462453E+00 0.227254E+00 0.645795E+00
   8 0.892105E+01 -.650402E+00 0.430266E+00 0.197480E+00 0.644427E+00
   8 0.910526E+01 -.625484E+00 0.398400E+00 0.170032E+00 0.642914E+00
