 program J1J2_6          
 linear system size                20
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.800000E+01    1 -.877969E+01 0.000000E+00
 0.800000E+01    2 -.868189E+01 0.000000E+00
 0.800000E+01    3 -.858410E+01 0.000000E+00
 0.800000E+01    4 -.848630E+01 0.000000E+00
 0.800000E+01    5 -.838850E+01 0.000000E+00
 0.800000E+01    6 -.829071E+01 0.000000E+00
 0.800000E+01    7 -.819291E+01 0.000000E+00
 0.800000E+01    8 -.809511E+01 0.000000E+00
 0.800000E+01    9 -.799731E+01 0.000000E+00
 0.800000E+01   10 -.789952E+01 0.000000E+00
 0.800000E+01   11 -.780172E+01 0.000000E+00
 0.800000E+01   12 -.770392E+01 0.000000E+00
 0.800000E+01   13 -.760613E+01 0.000000E+00
 0.800000E+01   14 -.750833E+01 0.000000E+00
 0.800000E+01   15 -.741053E+01 0.000000E+00
 0.800000E+01   16 -.731274E+01 0.000000E+00
 0.800000E+01   17 -.721494E+01 0.000000E+00
 0.800000E+01   18 -.711714E+01 0.000000E+00
 0.800000E+01   19 -.701935E+01 0.000000E+00
 0.800000E+01   20 -.692155E+01 0.000000E+00
 0.800000E+01   21 -.682375E+01 0.000000E+00
 0.800000E+01   22 -.672595E+01 0.000000E+00
 0.800000E+01   23 -.662816E+01 0.000000E+00
 0.800000E+01   24 -.653036E+01 0.000000E+00
 0.800000E+01   25 -.643256E+01 0.000000E+00
 0.800000E+01   26 -.633477E+01 0.000000E+00
 0.800000E+01   27 -.623697E+01 0.000000E+00
 0.800000E+01   28 -.613917E+01 0.000000E+00
 0.800000E+01   29 -.604138E+01 0.000000E+00
 0.800000E+01   30 -.594358E+01 0.000000E+00
 0.800000E+01   31 -.584578E+01 0.000000E+00
 0.800000E+01   32 -.574799E+01 0.000000E+00
 0.800000E+01   33 -.565019E+01 0.000000E+00
 0.800000E+01   34 -.555239E+01 0.000000E+00
 0.800000E+01   35 -.545460E+01 0.000000E+00
 0.800000E+01   36 -.535680E+01 0.000000E+00
 0.800000E+01   37 -.525900E+01 0.000000E+00
 0.800000E+01   38 -.516120E+01 0.000000E+00
 0.800000E+01   39 -.506341E+01 0.000000E+00
 0.800000E+01   40 -.496561E+01 0.000000E+00
 0.800000E+01   41 -.486781E+01 0.000000E+00
 0.800000E+01   42 -.477002E+01 0.000000E+00
 0.800000E+01   43 -.467222E+01 0.000000E+00
 0.800000E+01   44 -.457442E+01 0.000000E+00
 0.800000E+01   45 -.447663E+01 0.700000E-06
 0.800000E+01   46 -.437883E+01 0.102200E-03
 0.800000E+01   47 -.428103E+01 0.291820E-02
 0.800000E+01   48 -.418324E+01 0.293189E-01
 0.800000E+01   49 -.408544E+01 0.141278E+00
 0.800000E+01   50 -.398764E+01 0.339661E+00
 0.800000E+01   51 -.388984E+01 0.334952E+00
 0.800000E+01   52 -.379205E+01 0.130745E+00
 0.800000E+01   53 -.369425E+01 0.197957E-01
 0.800000E+01   54 -.359645E+01 0.119890E-02
 0.800000E+01   55 -.349866E+01 0.294000E-04
 0.800000E+01   56 -.340086E+01 0.100000E-06
 0.800000E+01   57 -.330306E+01 0.000000E+00
 0.800000E+01   58 -.320527E+01 0.000000E+00
 0.800000E+01   59 -.310747E+01 0.000000E+00
 0.800000E+01   60 -.300967E+01 0.000000E+00
 0.800000E+01   61 -.291188E+01 0.000000E+00
 0.800000E+01   62 -.281408E+01 0.000000E+00
 0.800000E+01   63 -.271628E+01 0.000000E+00
 0.800000E+01   64 -.261849E+01 0.000000E+00
 0.800000E+01   65 -.252069E+01 0.000000E+00
 0.800000E+01   66 -.242289E+01 0.000000E+00
 0.800000E+01   67 -.232509E+01 0.000000E+00
 0.800000E+01   68 -.222730E+01 0.000000E+00
 0.800000E+01   69 -.212950E+01 0.000000E+00
 0.800000E+01   70 -.203170E+01 0.000000E+00
 0.800000E+01   71 -.193391E+01 0.000000E+00
 0.800000E+01   72 -.183611E+01 0.000000E+00
 0.800000E+01   73 -.173831E+01 0.000000E+00
 0.800000E+01   74 -.164052E+01 0.000000E+00
 0.800000E+01   75 -.154272E+01 0.000000E+00
 0.800000E+01   76 -.144492E+01 0.000000E+00
 0.800000E+01   77 -.134713E+01 0.000000E+00
 0.800000E+01   78 -.124933E+01 0.000000E+00
 0.800000E+01   79 -.115153E+01 0.000000E+00
 0.800000E+01   80 -.105373E+01 0.000000E+00
