 iconf, T, nbar, nbar2, nbar4, nbinder
   4 0.103947E+02 0.246906E-01 0.193933E-02 0.105164E-04 0.679382E-01
   4 0.105789E+02 0.232753E-01 0.184146E-02 0.960364E-05 0.559557E-01
   4 0.107632E+02 0.215670E-01 0.174460E-02 0.864377E-05 0.533498E-01
   4 0.109474E+02 0.196281E-01 0.163236E-02 0.765254E-05 0.426917E-01
   4 0.111316E+02 0.174892E-01 0.151600E-02 0.669009E-05 0.296900E-01
   4 0.113158E+02 0.151420E-01 0.141174E-02 0.588551E-05 0.156357E-01
   4 0.115000E+02 0.129766E-01 0.132741E-02 0.523236E-05 0.101501E-01
   5 0.800000E+01 0.120711E+01 0.145860E+01 0.213612E+01 0.665318E+00
   5 0.818421E+01 0.117331E+01 0.137816E+01 0.190756E+01 0.665220E+00
   5 0.836842E+01 0.113860E+01 0.129791E+01 0.169237E+01 0.665123E+00
   5 0.855263E+01 0.110247E+01 0.121696E+01 0.148841E+01 0.665000E+00
   5 0.873684E+01 0.106587E+01 0.113761E+01 0.130110E+01 0.664877E+00
   5 0.892105E+01 0.102787E+01 0.105806E+01 0.112597E+01 0.664736E+00
   5 0.910526E+01 0.989066E+00 0.979799E+00 0.966065E+00 0.664563E+00
   5 0.928947E+01 0.949776E+00 0.903630E+00 0.822166E+00 0.664373E+00
   5 0.947368E+01 0.909695E+00 0.829115E+00 0.692632E+00 0.664145E+00
   5 0.965789E+01 0.868876E+00 0.756535E+00 0.577150E+00 0.663868E+00
   5 0.984211E+01 0.827360E+00 0.686115E+00 0.475117E+00 0.663578E+00
   5 0.100263E+02 0.785456E+00 0.618551E+00 0.386583E+00 0.663201E+00
   5 0.102105E+02 0.743161E+00 0.553891E+00 0.310341E+00 0.662814E+00
   5 0.103947E+02 0.700907E+00 0.492867E+00 0.246062E+00 0.662353E+00
   5 0.105789E+02 0.660645E+00 0.438000E+00 0.194556E+00 0.661954E+00
   5 0.107632E+02 0.623994E+00 0.390833E+00 0.155040E+00 0.661671E+00
   5 0.109474E+02 0.591377E+00 0.351116E+00 0.125234E+00 0.661390E+00
   5 0.111316E+02 0.562853E+00 0.318122E+00 0.102880E+00 0.661140E+00
   5 0.113158E+02 0.537909E+00 0.290590E+00 0.858877E-01 0.660962E+00
   5 0.115000E+02 0.516179E+00 0.267624E+00 0.728883E-01 0.660776E+00
   6 0.800000E+01 -.740800E-01 0.706938E-02 0.896272E-04 0.402200E+00
   6 0.818421E+01 -.700326E-01 0.648740E-02 0.782426E-04 0.380301E+00
   6 0.836842E+01 -.657638E-01 0.588182E-02 0.662064E-04 0.362096E+00
   6 0.855263E+01 -.616488E-01 0.532438E-02 0.560786E-04 0.340616E+00
   6 0.873684E+01 -.575894E-01 0.483250E-02 0.480947E-04 0.313515E+00
   6 0.892105E+01 -.535373E-01 0.433472E-02 0.398227E-04 0.293541E+00
   6 0.910526E+01 -.503105E-01 0.396531E-02 0.344894E-04 0.268844E+00
   6 0.928947E+01 -.471024E-01 0.363024E-02 0.296923E-04 0.248982E+00
   6 0.947368E+01 -.443769E-01 0.335209E-02 0.260486E-04 0.227262E+00
   6 0.965789E+01 -.422124E-01 0.312989E-02 0.230072E-04 0.217141E+00
   6 0.984211E+01 -.400128E-01 0.293975E-02 0.207300E-04 0.200428E+00
   6 0.100263E+02 -.382005E-01 0.275860E-02 0.186465E-04 0.183233E+00
   6 0.102105E+02 -.360118E-01 0.258847E-02 0.167256E-04 0.167906E+00
   6 0.103947E+02 -.342916E-01 0.243263E-02 0.150283E-04 0.153480E+00
   6 0.105789E+02 -.325593E-01 0.229856E-02 0.135682E-04 0.143969E+00
   6 0.107632E+02 -.312643E-01 0.218889E-02 0.125038E-04 0.130097E+00
   6 0.109474E+02 -.300875E-01 0.207997E-02 0.113358E-04 0.126598E+00
   6 0.111316E+02 -.291810E-01 0.199721E-02 0.105582E-04 0.117697E+00
   6 0.113158E+02 -.282913E-01 0.192714E-02 0.996570E-05 0.105545E+00
   6 0.115000E+02 -.277331E-01 0.187115E-02 0.925688E-05 0.118696E+00
   7 0.800000E+01 0.155774E-01 0.174911E-02 0.905010E-05 0.139521E-01
   7 0.818421E+01 0.125139E-01 0.168647E-02 0.855543E-05 -.268137E-02
   7 0.836842E+01 0.906925E-02 0.164702E-02 0.815465E-05 -.204447E-02
   7 0.855263E+01 0.496694E-02 0.162935E-02 0.791267E-05 0.649338E-02
   7 0.873684E+01 0.384965E-03 0.164059E-02 0.803680E-05 0.467954E-02
   7 0.892105E+01 -.275708E-02 0.163133E-02 0.787338E-05 0.138197E-01
   7 0.910526E+01 -.545538E-02 0.163723E-02 0.803710E-05 0.560203E-03
   7 0.928947E+01 -.640161E-02 0.161518E-02 0.779498E-05 0.401198E-02
   7 0.947368E+01 -.595480E-02 0.157916E-02 0.746444E-05 0.224744E-02
