 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9017
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.872222E+01 0.333618E+00 0.111769E+00 0.126929E-01 0.309206E-01 0.983952E+00 0.558254E+01 0.989399E+00 0.515544E-02 0.977813E-02 0.249691E+01 0.266644E+00 0.712995E-01 0.513523E-02 0.663812E+00 0.136763E-02 0.196281E+00 0.404699E-01 0.188306E-02 0.626769E+00 0.250358E-01 0.522014E-01 0.529507E-02 0.884674E+00 0.674626E-01
 0.877778E+01 0.325713E+00 0.106551E+00 0.115435E-01 0.309677E-01 0.983233E+00 0.519993E+01 0.989496E+00 0.473357E-02 0.100635E-01 0.208804E+01 0.261727E+00 0.687152E-01 0.477483E-02 0.663417E+00 0.159526E-02 0.189427E+00 0.378361E-01 0.166596E-02 0.623037E+00 0.270345E-01 0.494525E-01 0.536539E-02 0.873547E+00 0.731891E-01
 0.883333E+01 0.318114E+00 0.101643E+00 0.105077E-01 0.306665E-01 0.982923E+00 0.485995E+01 0.989636E+00 0.427917E-02 0.100461E-01 0.173045E+01 0.256678E+00 0.661105E-01 0.442476E-02 0.662990E+00 0.185080E-02 0.183377E+00 0.355323E-01 0.147973E-02 0.620571E+00 0.280990E-01 0.469580E-01 0.526458E-02 0.865869E+00 0.761806E-01
 0.888889E+01 0.310683E+00 0.969496E-01 0.956066E-02 0.304010E-01 0.982825E+00 0.447493E+01 0.989939E+00 0.378685E-02 0.997641E-02 0.139881E+01 0.251794E+00 0.636341E-01 0.410296E-02 0.662658E+00 0.204788E-02 0.177385E+00 0.333155E-01 0.130952E-02 0.618210E+00 0.291426E-01 0.445681E-01 0.514742E-02 0.857517E+00 0.792113E-01
 0.894444E+01 0.303382E+00 0.924474E-01 0.869427E-02 0.300476E-01 0.982713E+00 0.419584E+01 0.990106E+00 0.333027E-02 0.982811E-02 0.112179E+01 0.246919E+00 0.612091E-01 0.379955E-02 0.662311E+00 0.225962E-02 0.171594E+00 0.312383E-01 0.115806E-02 0.615848E+00 0.300265E-01 0.422885E-01 0.499004E-02 0.849639E+00 0.814569E-01
 0.900000E+01 0.296251E+00 0.881495E-01 0.790406E-02 0.296573E-01 0.982790E+00 0.397377E+01 0.990188E+00 0.289609E-02 0.951750E-02 0.883758E+00 0.242133E+00 0.588687E-01 0.351665E-02 0.662072E+00 0.238529E-02 0.165992E+00 0.292808E-01 0.102203E-02 0.613707E+00 0.306826E-01 0.401225E-01 0.477571E-02 0.842003E+00 0.830615E-01
 0.905556E+01 0.289165E+00 0.839781E-01 0.717217E-02 0.292632E-01 0.983006E+00 0.383373E+01 0.990093E+00 0.262059E-02 0.905203E-02 0.739255E+00 0.237374E+00 0.565886E-01 0.325180E-02 0.661819E+00 0.251657E-02 0.160446E+00 0.273894E-01 0.897054E-03 0.611850E+00 0.310819E-01 0.380244E-01 0.451052E-02 0.834249E+00 0.840912E-01
 0.911111E+01 0.282151E+00 0.799509E-01 0.650004E-02 0.288709E-01 0.983120E+00 0.377697E+01 0.989778E+00 0.243908E-02 0.854120E-02 0.640917E+00 0.232691E+00 0.543826E-01 0.300424E-02 0.661695E+00 0.255727E-02 0.154875E+00 0.255682E-01 0.784772E-03 0.609387E+00 0.318128E-01 0.359820E-01 0.424796E-02 0.825413E+00 0.853493E-01
 0.916667E+01 0.275164E+00 0.760442E-01 0.588113E-02 0.283651E-01 0.982982E+00 0.373810E+01 0.989401E+00 0.240285E-02 0.818018E-02 0.605442E+00 0.227906E+00 0.521784E-01 0.276745E-02 0.661451E+00 0.266093E-02 0.149414E+00 0.238658E-01 0.687195E-03 0.606232E+00 0.331790E-01 0.340037E-01 0.404095E-02 0.816214E+00 0.868909E-01
 0.922222E+01 0.268253E+00 0.722797E-01 0.531491E-02 0.278641E-01 0.982668E+00 0.375106E+01 0.988836E+00 0.247185E-02 0.783662E-02 0.606747E+00 0.223193E+00 0.500484E-01 0.254720E-02 0.661295E+00 0.271355E-02 0.143903E+00 0.222313E-01 0.600272E-03 0.602420E+00 0.349492E-01 0.320738E-01 0.386504E-02 0.805356E+00 0.894155E-01
 0.927778E+01 0.261249E+00 0.685707E-01 0.478718E-02 0.274083E-01 0.981871E+00 0.388291E+01 0.987844E+00 0.272864E-02 0.755809E-02 0.661382E+00 0.218483E+00 0.479665E-01 0.234110E-02 0.661067E+00 0.280459E-02 0.138125E+00 0.206042E-01 0.520702E-03 0.596705E+00 0.377487E-01 0.301398E-01 0.371691E-02 0.792161E+00 0.924782E-01
 0.933333E+01 0.253872E+00 0.647715E-01 0.427551E-02 0.269614E-01 0.980892E+00 0.400425E+01 0.986761E+00 0.306036E-02 0.733715E-02 0.729267E+00 0.213565E+00 0.458424E-01 0.214011E-02 0.660771E+00 0.288505E-02 0.131857E+00 0.189291E-01 0.445392E-03 0.589119E+00 0.418782E-01 0.281264E-01 0.360881E-02 0.775298E+00 0.974123E-01
 0.938889E+01 0.246676E+00 0.611773E-01 0.381945E-02 0.264970E-01 0.979485E+00 0.423064E+01 0.985262E+00 0.351994E-02 0.714915E-02 0.821634E+00 0.208744E+00 0.438094E-01 0.195632E-02 0.660447E+00 0.296299E-02 0.125664E+00 0.173679E-01 0.381191E-03 0.580080E+00 0.465824E-01 0.262004E-01 0.352334E-02 0.756670E+00 0.103345E+00
 0.944444E+01 0.239461E+00 0.576780E-01 0.340000E-02 0.259783E-01 0.977981E+00 0.448411E+01 0.983549E+00 0.398784E-02 0.689414E-02 0.902340E+00 0.203869E+00 0.418003E-01 0.178267E-02 0.660129E+00 0.295735E-02 0.119569E+00 0.158777E-01 0.323793E-03 0.571332E+00 0.508257E-01 0.243462E-01 0.340203E-02 0.737527E+00 0.108833E+00
 0.950000E+01 0.232028E+00 0.541934E-01 0.300891E-02 0.254608E-01 0.975490E+00 0.488954E+01 0.981066E+00 0.467146E-02 0.678446E-02 0.100100E+01 0.198872E+00 0.397967E-01 0.161812E-02 0.659669E+00 0.292155E-02 0.113097E+00 0.143967E-01 0.272687E-03 0.559252E+00 0.567457E-01 0.224599E-01 0.334585E-02 0.713756E+00 0.117475E+00
 0.955556E+01 0.224535E+00 0.507893E-01 0.264928E-02 0.248276E-01 0.972967E+00 0.531451E+01 0.978313E+00 0.496322E-02 0.647828E-02 0.971083E+00 0.193661E+00 0.377694E-01 0.146042E-02 0.658986E+00 0.282775E-02 0.106829E+00 0.130199E-01 0.228451E-03 0.546616E+00 0.618230E-01 0.206558E-01 0.319402E-02 0.691375E+00 0.123142E+00
 0.961111E+01 0.216739E+00 0.473702E-01 0.231188E-02 0.241300E-01 0.969719E+00 0.584515E+01 0.974728E+00 0.517996E-02 0.609565E-02 0.904162E+00 0.188135E+00 0.356944E-01 0.130874E-02 0.657858E+00 0.264204E-02 0.100466E+00 0.116758E-01 0.188645E-03 0.533539E+00 0.660945E-01 0.188660E-01 0.300764E-02 0.667844E+00 0.128229E+00
 0.966667E+01 0.208671E+00 0.439740E-01 0.200123E-02 0.233112E-01 0.965083E+00 0.667774E+01 0.969610E+00 0.525943E-02 0.560550E-02 0.757762E+00 0.182260E+00 0.335696E-01 0.116327E-02 0.656204E+00 0.233622E-02 0.940218E-01 0.104044E-01 0.154638E-03 0.517074E+00 0.711613E-01 0.170967E-01 0.279016E-02 0.643175E+00 0.132703E+00
 0.972222E+01 0.200033E+00 0.404994E-01 0.170848E-02 0.224524E-01 0.958370E+00 0.795568E+01 0.962174E+00 0.411445E-02 0.478624E-02 0.238945E+00 0.175806E+00 0.313633E-01 0.102420E-02 0.653289E+00 0.150132E-02 0.872383E-01 0.913613E-02 0.124001E-03 0.495979E+00 0.769069E-01 0.152853E-01 0.250778E-02 0.616235E+00 0.136722E+00
