 program J1J2_6          
 spatial system size               14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         601
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.470339E+00 0.230754E+00 0.621573E-01 0.164216E+00 0.832673E+00 0.369050E+00 0.975755E+00 0.263156E-02 0.919781E-02 0.277305E-01 0.286294E+00 0.109557E+00 0.238514E-01 0.589285E+00 0.124033E-01 0.300406E+00 0.121197E+00 0.287789E-01 0.584057E+00 0.137947E-01 0.614277E-01 0.258850E-02 0.501829E+00 0.369223E-01
 0.818421E+01 0.450884E+00 0.213889E+00 0.547688E-01 0.156276E+00 0.802828E+00 0.416301E+00 0.968508E+00 0.370348E-02 0.966992E-02 0.329284E-01 0.271904E+00 0.101044E+00 0.211543E-01 0.577200E+00 0.132498E-01 0.286714E+00 0.112845E+00 0.259020E-01 0.572882E+00 0.146987E-01 0.544775E-01 0.241174E-02 0.486471E+00 0.369085E-01
 0.836842E+01 0.430805E+00 0.197306E+00 0.479761E-01 0.147951E+00 0.767624E+00 0.464247E+00 0.958909E+00 0.515036E-02 0.101476E-01 0.373613E-01 0.257246E+00 0.926917E-01 0.186304E-01 0.562926E+00 0.142794E-01 0.272715E+00 0.104615E+00 0.231838E-01 0.560179E+00 0.155572E-01 0.479103E-01 0.222839E-02 0.471151E+00 0.368309E-01
 0.855263E+01 0.410293E+00 0.181145E+00 0.417723E-01 0.139250E+00 0.726978E+00 0.506391E+00 0.946996E+00 0.686610E-02 0.105955E-01 0.398735E-01 0.242432E+00 0.845435E-01 0.162828E-01 0.546744E+00 0.153581E-01 0.258655E+00 0.966013E-01 0.206308E-01 0.546134E+00 0.164303E-01 0.418064E-01 0.203894E-02 0.456665E+00 0.367559E-01
 0.873684E+01 0.389436E+00 0.165493E+00 0.361483E-01 0.130236E+00 0.680135E+00 0.545366E+00 0.932176E+00 0.883784E-02 0.109980E-01 0.406286E-01 0.227571E+00 0.766362E-01 0.141124E-01 0.528866E+00 0.164259E-01 0.244647E+00 0.888566E-01 0.182505E-01 0.530415E+00 0.173165E-01 0.362244E-01 0.184767E-02 0.443365E+00 0.366607E-01
 0.892105E+01 0.368413E+00 0.150448E+00 0.310830E-01 0.120974E+00 0.626758E+00 0.581510E+00 0.914865E+00 0.108302E-01 0.113267E-01 0.400001E-01 0.212812E+00 0.690356E-01 0.121273E-01 0.510157E+00 0.173599E-01 0.230841E+00 0.814128E-01 0.160379E-01 0.513348E+00 0.182111E-01 0.312030E-01 0.165922E-02 0.431608E+00 0.365600E-01
 0.910526E+01 0.347278E+00 0.136066E+00 0.265553E-01 0.111549E+00 0.565650E+00 0.617632E+00 0.894104E+00 0.129455E-01 0.115819E-01 0.395876E-01 0.198211E+00 0.617713E-01 0.103262E-01 0.489564E+00 0.183249E-01 0.217317E+00 0.742942E-01 0.139994E-01 0.495787E+00 0.190008E-01 0.267529E-01 0.147743E-02 0.422320E+00 0.364699E-01
 0.928947E+01 0.326114E+00 0.122379E+00 0.225256E-01 0.102114E+00 0.495947E+00 0.652442E+00 0.869735E+00 0.149734E-01 0.117557E-01 0.396141E-01 0.183783E+00 0.548672E-01 0.870662E-02 0.467974E+00 0.191202E-01 0.204078E+00 0.675117E-01 0.121307E-01 0.476751E+00 0.198082E-01 0.228172E-01 0.130447E-02 0.415209E+00 0.363710E-01
 0.947368E+01 0.304983E+00 0.109419E+00 0.189618E-01 0.927473E-01 0.416220E+00 0.681890E+00 0.840672E+00 0.171625E-01 0.118531E-01 0.393076E-01 0.169633E+00 0.483838E-01 0.727272E-02 0.444742E+00 0.197660E-01 0.191119E+00 0.610350E-01 0.104204E-01 0.457340E+00 0.204952E-01 0.193752E-01 0.114428E-02 0.411187E+00 0.363321E-01
 0.965789E+01 0.284139E+00 0.972800E-01 0.158356E-01 0.836229E-01 0.326651E+00 0.701892E+00 0.807308E+00 0.194181E-01 0.118636E-01 0.383013E-01 0.155972E+00 0.423811E-01 0.601147E-02 0.420249E+00 0.202949E-01 0.178469E+00 0.548989E-01 0.887599E-02 0.437032E+00 0.211014E-01 0.163942E-01 0.998763E-03 0.409697E+00 0.363193E-01
 0.984211E+01 0.263738E+00 0.859878E-01 0.131053E-01 0.748156E-01 0.227550E+00 0.712884E+00 0.769184E+00 0.217369E-01 0.117785E-01 0.368914E-01 0.142926E+00 0.368796E-01 0.491347E-02 0.395002E+00 0.205940E-01 0.166191E+00 0.491082E-01 0.748522E-02 0.415728E+00 0.216145E-01 0.138474E-01 0.868019E-03 0.411295E+00 0.363942E-01
