 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 -.201252E+00 0.406203E-01 0.166910E-02 0.662808E+00
   1 0.805556E+01 -.200072E+00 0.401471E-01 0.163076E-02 0.662742E+00
   1 0.811111E+01 -.198850E+00 0.396601E-01 0.159174E-02 0.662679E+00
   1 0.816667E+01 -.197630E+00 0.391771E-01 0.155353E-02 0.662610E+00
   1 0.822222E+01 -.196357E+00 0.386756E-01 0.151425E-02 0.662555E+00
   1 0.827778E+01 -.195096E+00 0.381825E-01 0.147618E-02 0.662488E+00
   1 0.833333E+01 -.193770E+00 0.376677E-01 0.143705E-02 0.662392E+00
   1 0.838889E+01 -.192474E+00 0.371678E-01 0.139949E-02 0.662311E+00
   1 0.844444E+01 -.191182E+00 0.366719E-01 0.136259E-02 0.662264E+00
   1 0.850000E+01 -.189843E+00 0.361623E-01 0.132534E-02 0.662173E+00
   1 0.855556E+01 -.188471E+00 0.356434E-01 0.128781E-02 0.662111E+00
   1 0.861111E+01 -.187175E+00 0.351564E-01 0.125312E-02 0.662044E+00
   1 0.866667E+01 -.185850E+00 0.346621E-01 0.121834E-02 0.661983E+00
   1 0.872222E+01 -.184484E+00 0.341560E-01 0.118324E-02 0.661922E+00
   1 0.877778E+01 -.183037E+00 0.336245E-01 0.114698E-02 0.661839E+00
   1 0.883333E+01 -.181642E+00 0.331152E-01 0.111266E-02 0.661790E+00
   1 0.888889E+01 -.180150E+00 0.325753E-01 0.107690E-02 0.661717E+00
   1 0.894444E+01 -.178613E+00 0.320236E-01 0.104098E-02 0.661640E+00
   1 0.900000E+01 -.176993E+00 0.314473E-01 0.100410E-02 0.661555E+00
   1 0.905556E+01 -.175372E+00 0.308758E-01 0.968161E-03 0.661475E+00
   1 0.911111E+01 -.173738E+00 0.303057E-01 0.933030E-03 0.661370E+00
   1 0.916667E+01 -.172094E+00 0.297368E-01 0.898554E-03 0.661284E+00
   1 0.922222E+01 -.170377E+00 0.291484E-01 0.863604E-03 0.661183E+00
   1 0.927778E+01 -.168656E+00 0.285649E-01 0.829623E-03 0.661082E+00
   1 0.933333E+01 -.166918E+00 0.279813E-01 0.796325E-03 0.660974E+00
   1 0.938889E+01 -.165160E+00 0.273965E-01 0.763533E-03 0.660909E+00
   1 0.944444E+01 -.163291E+00 0.267832E-01 0.730098E-03 0.660738E+00
   1 0.950000E+01 -.161399E+00 0.261685E-01 0.697206E-03 0.660622E+00
   1 0.955556E+01 -.159440E+00 0.255396E-01 0.664325E-03 0.660505E+00
   1 0.961111E+01 -.157416E+00 0.248982E-01 0.631692E-03 0.660338E+00
   1 0.966667E+01 -.155306E+00 0.242382E-01 0.598912E-03 0.660185E+00
   1 0.972222E+01 -.153134E+00 0.235688E-01 0.566637E-03 0.659976E+00
   1 0.977778E+01 -.150871E+00 0.228808E-01 0.534357E-03 0.659775E+00
   1 0.983333E+01 -.148548E+00 0.221846E-01 0.502594E-03 0.659597E+00
   1 0.988889E+01 -.146217E+00 0.214972E-01 0.472224E-03 0.659386E+00
   1 0.994444E+01 -.143852E+00 0.208102E-01 0.442753E-03 0.659210E+00
   1 0.100000E+02 -.141600E+00 0.201664E-01 0.416000E-03 0.659029E+00
   1 0.100556E+02 -.139307E+00 0.195217E-01 0.390072E-03 0.658814E+00
   1 0.101111E+02 -.137096E+00 0.189100E-01 0.366244E-03 0.658598E+00
   1 0.101667E+02 -.134942E+00 0.183231E-01 0.344043E-03 0.658421E+00
   1 0.102222E+02 -.132822E+00 0.177540E-01 0.323159E-03 0.658256E+00
   1 0.102778E+02 -.130719E+00 0.171994E-01 0.303495E-03 0.658018E+00
   1 0.103333E+02 -.128705E+00 0.166764E-01 0.285519E-03 0.657778E+00
   1 0.103889E+02 -.126705E+00 0.161653E-01 0.268468E-03 0.657544E+00
   1 0.104444E+02 -.124719E+00 0.156650E-01 0.252269E-03 0.657325E+00
   1 0.105000E+02 -.122795E+00 0.151875E-01 0.237258E-03 0.657133E+00
   1 0.105556E+02 -.120919E+00 0.147299E-01 0.223340E-03 0.656881E+00
   1 0.106111E+02 -.119026E+00 0.142753E-01 0.209926E-03 0.656619E+00
   1 0.106667E+02 -.117204E+00 0.138437E-01 0.197540E-03 0.656418E+00
   1 0.107222E+02 -.115400E+00 0.134236E-01 0.185876E-03 0.656151E+00
   1 0.107778E+02 -.113605E+00 0.130116E-01 0.174773E-03 0.655896E+00
   1 0.108333E+02 -.111886E+00 0.126231E-01 0.164611E-03 0.655647E+00
   1 0.108889E+02 -.110183E+00 0.122441E-01 0.154977E-03 0.655418E+00
   1 0.109444E+02 -.108549E+00 0.118864E-01 0.146183E-03 0.655114E+00
   1 0.110000E+02 -.106940E+00 0.115386E-01 0.137850E-03 0.654870E+00
   1 0.110556E+02 -.105344E+00 0.111991E-01 0.129958E-03 0.654606E+00
   1 0.111111E+02 -.103810E+00 0.108776E-01 0.122705E-03 0.654322E+00
   1 0.111667E+02 -.102282E+00 0.105622E-01 0.115785E-03 0.654039E+00
   1 0.112222E+02 -.100812E+00 0.102625E-01 0.109386E-03 0.653797E+00
   1 0.112778E+02 -.993617E-01 0.997142E-02 0.103345E-03 0.653540E+00
   1 0.113333E+02 -.979546E-01 0.969271E-02 0.977132E-04 0.653310E+00
   1 0.113889E+02 -.966041E-01 0.942914E-02 0.925437E-04 0.653038E+00
   1 0.114444E+02 -.952104E-01 0.916124E-02 0.874350E-04 0.652739E+00
   1 0.115000E+02 -.939309E-01 0.891861E-02 0.829349E-04 0.652447E+00
   2 0.800000E+01 -.304523E+00 0.928465E-01 0.866210E-02 0.665057E+00
   2 0.805556E+01 -.302243E+00 0.914642E-01 0.840719E-02 0.665013E+00
   2 0.811111E+01 -.300088E+00 0.901673E-01 0.817151E-02 0.664970E+00
   2 0.816667E+01 -.297916E+00 0.888696E-01 0.793891E-02 0.664932E+00
   2 0.822222E+01 -.295742E+00 0.875804E-01 0.771129E-02 0.664886E+00
   2 0.827778E+01 -.293525E+00 0.862738E-01 0.748354E-02 0.664858E+00
   2 0.833333E+01 -.291285E+00 0.849646E-01 0.725896E-02 0.664821E+00
   2 0.838889E+01 -.289006E+00 0.836423E-01 0.703546E-02 0.664788E+00
   2 0.844444E+01 -.286659E+00 0.822910E-01 0.681059E-02 0.664758E+00
   2 0.850000E+01 -.284265E+00 0.809244E-01 0.658680E-02 0.664730E+00
   2 0.855556E+01 -.281779E+00 0.795170E-01 0.636027E-02 0.664700E+00
   2 0.861111E+01 -.279267E+00 0.781076E-01 0.613743E-02 0.664665E+00
   2 0.866667E+01 -.276657E+00 0.766566E-01 0.591228E-02 0.664621E+00
   2 0.872222E+01 -.274029E+00 0.752092E-01 0.569169E-02 0.664589E+00
   2 0.877778E+01 -.271349E+00 0.737480E-01 0.547353E-02 0.664536E+00
   2 0.883333E+01 -.268699E+00 0.723171E-01 0.526380E-02 0.664498E+00
   2 0.888889E+01 -.266008E+00 0.708785E-01 0.505721E-02 0.664447E+00
   2 0.894444E+01 -.263276E+00 0.694326E-01 0.485366E-02 0.664401E+00
   2 0.900000E+01 -.260529E+00 0.679942E-01 0.465552E-02 0.664337E+00
   2 0.905556E+01 -.257816E+00 0.665879E-01 0.446551E-02 0.664294E+00
   2 0.911111E+01 -.255090E+00 0.651898E-01 0.428067E-02 0.664239E+00
   2 0.916667E+01 -.252371E+00 0.638096E-01 0.410191E-02 0.664190E+00
   2 0.922222E+01 -.249685E+00 0.624623E-01 0.393135E-02 0.664120E+00
   2 0.927778E+01 -.246985E+00 0.611210E-01 0.376490E-02 0.664068E+00
   2 0.933333E+01 -.244306E+00 0.598048E-01 0.360506E-02 0.664015E+00
   2 0.938889E+01 -.241610E+00 0.584948E-01 0.344953E-02 0.663950E+00
   2 0.944444E+01 -.238870E+00 0.571781E-01 0.329656E-02 0.663891E+00
   2 0.950000E+01 -.236203E+00 0.559112E-01 0.315270E-02 0.663826E+00
   2 0.955556E+01 -.233433E+00 0.546101E-01 0.300827E-02 0.663760E+00
   2 0.961111E+01 -.230681E+00 0.533330E-01 0.286980E-02 0.663691E+00
   2 0.966667E+01 -.227946E+00 0.520790E-01 0.273706E-02 0.663614E+00
   2 0.972222E+01 -.225205E+00 0.508366E-01 0.260856E-02 0.663545E+00
   2 0.977778E+01 -.222419E+00 0.495885E-01 0.248247E-02 0.663487E+00
   2 0.983333E+01 -.219612E+00 0.483476E-01 0.236034E-02 0.663407E+00
   2 0.988889E+01 -.216857E+00 0.471453E-01 0.224498E-02 0.663323E+00
