 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   3 0.836842E+01 0.329712E+00 0.241100E+00 0.408901E+00 0.505808E-01 -.409783E+01 -.382189E+01 0.794937E-01 0.908088E+00
   3 0.855263E+01 0.315121E+00 0.225169E+00 0.387910E+00 0.486003E-01 -.397373E+01 -.371218E+01 0.709554E-01 0.895026E+00
   3 0.873684E+01 0.300819E+00 0.207884E+00 0.366537E+00 0.472764E-01 -.387342E+01 -.361870E+01 0.625354E-01 0.874981E+00
   3 0.892105E+01 0.286485E+00 0.189088E+00 0.344537E+00 0.463197E-01 -.374592E+01 -.352851E+01 0.541709E-01 0.845462E+00
   3 0.910526E+01 0.272561E+00 0.170264E+00 0.323116E+00 0.453000E-01 -.365690E+01 -.348407E+01 0.464073E-01 0.807616E+00
   3 0.928947E+01 0.258691E+00 0.149749E+00 0.301264E+00 0.444960E-01 -.352720E+01 -.325112E+01 0.387387E-01 0.751976E+00
   3 0.947368E+01 0.244427E+00 0.128549E+00 0.279089E+00 0.432199E-01 -.344430E+01 -.323697E+01 0.314209E-01 0.678882E+00
   3 0.965789E+01 0.230379E+00 0.110061E+00 0.258429E+00 0.409612E-01 -.334105E+01 -.312612E+01 0.253556E-01 0.605168E+00
   3 0.984211E+01 0.216334E+00 0.939756E-01 0.238967E+00 0.379692E-01 -.321021E+01 -.302080E+01 0.203302E-01 0.534186E+00
   3 0.100263E+02 0.201406E+00 0.805921E-01 0.220026E+00 0.340694E-01 -.310520E+01 -.270859E+01 0.162318E-01 0.475877E+00
   3 0.102105E+02 0.185592E+00 0.697651E-01 0.201388E+00 0.295772E-01 -.301993E+01 -.269360E+01 0.129478E-01 0.433925E+00
   3 0.103947E+02 0.168237E+00 0.612026E-01 0.182414E+00 0.245579E-01 -.292957E+01 -.275247E+01 0.102965E-01 0.412860E+00
   3 0.105789E+02 0.149905E+00 0.537187E-01 0.163047E+00 0.195859E-01 -.283752E+01 -.250963E+01 0.805273E-02 0.403403E+00
   3 0.107632E+02 0.130628E+00 0.476093E-01 0.143305E+00 0.147969E-01 -.271145E+01 -.245980E+01 0.621908E-02 0.414037E+00
   3 0.109474E+02 0.111736E+00 0.419935E-01 0.124085E+00 0.107214E-01 -.263214E+01 -.225525E+01 0.469217E-02 0.433792E+00
   3 0.111316E+02 0.937576E-01 0.372495E-01 0.105786E+00 0.740297E-02 -.254219E+01 -.227860E+01 0.349242E-02 0.470963E+00
