 iconf, T, nbar, nbar2, nbar4, nbinder
   4 0.103947E+02 0.245398E-01 0.193857E-02 0.105879E-04 0.608681E-01
   4 0.105789E+02 0.234859E-01 0.185576E-02 0.971430E-05 0.597385E-01
   4 0.107632E+02 0.216722E-01 0.173449E-02 0.852431E-05 0.555172E-01
   4 0.109474E+02 0.196751E-01 0.162928E-02 0.766020E-05 0.381114E-01
   4 0.111316E+02 0.173638E-01 0.152519E-02 0.678749E-05 0.273819E-01
   4 0.113158E+02 0.152826E-01 0.141504E-02 0.585909E-05 0.246275E-01
   4 0.115000E+02 0.131603E-01 0.133878E-02 0.532346E-05 0.995898E-02
   5 0.800000E+01 0.120682E+01 0.145790E+01 0.213408E+01 0.665318E+00
   5 0.818421E+01 0.117351E+01 0.137862E+01 0.190879E+01 0.665231E+00
   5 0.836842E+01 0.113860E+01 0.129792E+01 0.169245E+01 0.665114E+00
   5 0.855263E+01 0.110271E+01 0.121749E+01 0.148967E+01 0.665006E+00
   5 0.873684E+01 0.106565E+01 0.113714E+01 0.130003E+01 0.664875E+00
   5 0.892105E+01 0.102790E+01 0.105811E+01 0.112607E+01 0.664738E+00
   5 0.910526E+01 0.989247E+00 0.980151E+00 0.966730E+00 0.664573E+00
   5 0.928947E+01 0.949784E+00 0.903652E+00 0.822225E+00 0.664365E+00
   5 0.947368E+01 0.909613E+00 0.828960E+00 0.692356E+00 0.664153E+00
   5 0.965789E+01 0.868797E+00 0.756397E+00 0.576933E+00 0.663872E+00
   5 0.984211E+01 0.827330E+00 0.686057E+00 0.475009E+00 0.663596E+00
   5 0.100263E+02 0.785713E+00 0.618958E+00 0.387094E+00 0.663199E+00
   5 0.102105E+02 0.743242E+00 0.554017E+00 0.310492E+00 0.662803E+00
   5 0.103947E+02 0.701042E+00 0.493055E+00 0.246246E+00 0.662358E+00
   5 0.105789E+02 0.660752E+00 0.438135E+00 0.194665E+00 0.661974E+00
   5 0.107632E+02 0.623835E+00 0.390643E+00 0.154903E+00 0.661641E+00
   5 0.109474E+02 0.591561E+00 0.351333E+00 0.125387E+00 0.661397E+00
   5 0.111316E+02 0.563060E+00 0.318346E+00 0.103013E+00 0.661179E+00
   5 0.113158E+02 0.538114E+00 0.290812E+00 0.860198E-01 0.660959E+00
   5 0.115000E+02 0.516282E+00 0.267744E+00 0.729671E-01 0.660714E+00
   6 0.800000E+01 -.744804E-01 0.713642E-02 0.911792E-04 0.403220E+00
   6 0.818421E+01 -.701792E-01 0.651061E-02 0.786641E-04 0.381397E+00
   6 0.836842E+01 -.661369E-01 0.594182E-02 0.675188E-04 0.362523E+00
   6 0.855263E+01 -.620962E-01 0.538344E-02 0.572132E-04 0.341955E+00
   6 0.873684E+01 -.575969E-01 0.481990E-02 0.476315E-04 0.316564E+00
   6 0.892105E+01 -.536813E-01 0.435120E-02 0.401261E-04 0.293539E+00
   6 0.910526E+01 -.504375E-01 0.399175E-02 0.351374E-04 0.264944E+00
   6 0.928947E+01 -.471216E-01 0.362751E-02 0.296444E-04 0.249060E+00
   6 0.947368E+01 -.443976E-01 0.336401E-02 0.263428E-04 0.224065E+00
   6 0.965789E+01 -.420086E-01 0.311941E-02 0.229726E-04 0.213053E+00
   6 0.984211E+01 -.399807E-01 0.292963E-02 0.206888E-04 0.196495E+00
   6 0.100263E+02 -.379698E-01 0.275411E-02 0.186723E-04 0.179432E+00
   6 0.102105E+02 -.359037E-01 0.257025E-02 0.164489E-04 0.170025E+00
   6 0.103947E+02 -.343085E-01 0.245059E-02 0.153006E-04 0.150727E+00
   6 0.105789E+02 -.326587E-01 0.230432E-02 0.136666E-04 0.142069E+00
   6 0.107632E+02 -.310759E-01 0.217385E-02 0.123355E-04 0.129885E+00
   6 0.109474E+02 -.300775E-01 0.208632E-02 0.114264E-04 0.124958E+00
   6 0.111316E+02 -.289740E-01 0.198581E-02 0.104518E-04 0.116518E+00
   6 0.113158E+02 -.282388E-01 0.191846E-02 0.981146E-05 0.111394E+00
   6 0.115000E+02 -.277178E-01 0.187052E-02 0.928091E-05 0.115813E+00
   7 0.800000E+01 0.156845E-01 0.175118E-02 0.906003E-05 0.152025E-01
   7 0.818421E+01 0.125723E-01 0.168545E-02 0.845793E-05 0.754226E-02
   7 0.836842E+01 0.924913E-02 0.165233E-02 0.815384E-05 0.448204E-02
   7 0.855263E+01 0.524430E-02 0.162729E-02 0.787715E-05 0.844245E-02
   7 0.873684E+01 0.450642E-03 0.162870E-02 0.788304E-05 0.942008E-02
   7 0.892105E+01 -.282333E-02 0.162740E-02 0.788571E-05 0.749875E-02
   7 0.910526E+01 -.522055E-02 0.164320E-02 0.808999E-05 0.127421E-02
   7 0.928947E+01 -.639499E-02 0.161593E-02 0.781900E-05 0.187093E-02
   7 0.947368E+01 -.567251E-02 0.158548E-02 0.758135E-05 -.532404E-02
   7 0.965789E+01 -.504399E-02 0.154975E-02 0.719646E-05 0.120531E-02
   7 0.984211E+01 -.405589E-02 0.150272E-02 0.679717E-05 -.335052E-02
   7 0.100263E+02 -.221622E-02 0.146889E-02 0.649968E-05 -.413405E-02
   7 0.102105E+02 -.424352E-03 0.142414E-02 0.606593E-05 0.305065E-02
   7 0.103947E+02 0.124888E-02 0.139817E-02 0.585961E-05 0.860422E-03
   7 0.105789E+02 0.256403E-02 0.135943E-02 0.557110E-05 -.486761E-02
   7 0.107632E+02 0.362960E-02 0.132435E-02 0.528739E-05 -.487771E-02
   7 0.109474E+02 0.450098E-02 0.130561E-02 0.510062E-05 0.258380E-02
   7 0.111316E+02 0.466352E-02 0.127095E-02 0.482792E-05 0.371791E-02
   7 0.113158E+02 0.469080E-02 0.123290E-02 0.454148E-05 0.408263E-02
   7 0.115000E+02 0.486530E-02 0.118713E-02 0.424585E-05 -.426850E-02
   8 0.800000E+01 -.622659E+00 0.389174E+00 0.153739E+00 0.661643E+00
