 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
  36 0.416000E+01 0.164316E+00 0.185786E+00 0.326083E+00 -.751652E-02 -.136525E+01 -.120044E+01 0.305276E-01 0.985070E+00
  36 0.412000E+01 0.467678E+00 0.126042E-01 0.467952E+00 0.218564E+00 -.149181E+01 -.133538E+01 0.589473E-02 0.290114E-02
  36 0.408000E+01 0.538335E+00 0.934122E-02 0.538464E+00 0.289717E+00 -.157719E+01 -.149725E+01 0.502871E-02 0.120365E-02
  36 0.404000E+01 0.588818E+00 0.762807E-02 0.588896E+00 0.346648E+00 -.165775E+01 -.155269E+01 0.449154E-02 0.671090E-03
  36 0.400000E+01 0.628508E+00 0.649768E-02 0.628561E+00 0.394980E+00 -.173588E+01 -.165363E+01 0.408384E-02 0.427427E-03
  37 0.440000E+01 0.202470E-01 0.200771E-01 0.317046E-01 0.684877E-05 -.104206E+01 -.993312E+00 0.406501E-03 0.999929E+00
  37 0.436000E+01 0.224345E-01 0.222115E-01 0.351071E-01 0.995413E-05 -.106331E+01 -.101319E+01 0.498303E-03 0.999900E+00
  37 0.432000E+01 0.256833E-01 0.260459E-01 0.407042E-01 -.187562E-04 -.107750E+01 -.103044E+01 0.668946E-03 0.999803E+00
  37 0.428000E+01 0.302911E-01 0.312143E-01 0.483538E-01 -.567858E-04 -.110363E+01 -.106825E+01 0.945515E-03 0.999099E+00
  37 0.424000E+01 0.398394E-01 0.405508E-01 0.632143E-01 -.571931E-04 -.114350E+01 -.107400E+01 0.161552E-02 0.999687E+00
  37 0.420000E+01 0.644194E-01 0.630234E-01 0.101875E+00 0.177910E-03 -.120025E+01 -.111456E+01 0.405993E-02 0.999520E+00
  37 0.416000E+01 0.194509E+00 0.154365E+00 0.324457E+00 0.140054E-01 -.136269E+01 -.121206E+01 0.300254E-01 0.948412E+00
  37 0.412000E+01 0.467346E+00 0.124385E-01 0.467614E+00 0.218257E+00 -.147625E+01 -.141437E+01 0.581309E-02 0.282948E-02
  37 0.408000E+01 0.538249E+00 0.934493E-02 0.538379E+00 0.289625E+00 -.158169E+01 -.148169E+01 0.502990E-02 0.120499E-02
  37 0.404000E+01 0.588719E+00 0.758995E-02 0.588797E+00 0.346533E+00 -.165937E+01 -.152294E+01 0.446835E-02 0.664625E-03
  37 0.400000E+01 0.653864E-02 0.628456E+00 0.628509E+00 -.394914E+00 -.173762E+01 -.167637E+01 0.410924E-02 0.432904E-03
  38 0.440000E+01 0.197804E-01 0.200835E-01 0.312920E-01 -.120844E-04 -.104587E+01 -.997875E+00 0.397260E-03 0.999769E+00
  38 0.436000E+01 0.223140E-01 0.220640E-01 0.349085E-01 0.110941E-04 -.106719E+01 -.100562E+01 0.492336E-03 0.999873E+00
  38 0.432000E+01 0.255933E-01 0.257551E-01 0.403354E-01 -.831209E-05 -.108587E+01 -.102687E+01 0.659158E-03 0.999960E+00
  38 0.428000E+01 0.310637E-01 0.303861E-01 0.483691E-01 0.416349E-04 -.111275E+01 -.104075E+01 0.943903E-03 0.999514E+00
  38 0.424000E+01 0.401652E-01 0.401970E-01 0.634500E-01 -.256054E-05 -.114744E+01 -.106019E+01 0.161452E-02 0.999999E+00
  38 0.420000E+01 0.668735E-01 0.633597E-01 0.104277E+00 0.457617E-03 -.121519E+01 -.113562E+01 0.423708E-02 0.997092E+00
  38 0.416000E+01 0.131603E+00 0.219685E+00 0.327951E+00 -.309422E-01 -.136981E+01 -.120050E+01 0.289111E-01 0.777387E+00
  38 0.412000E+01 0.467201E+00 0.126256E-01 0.467476E+00 0.218117E+00 -.147506E+01 -.137800E+01 0.589868E-02 0.291691E-02
  38 0.408000E+01 0.538596E+00 0.935859E-02 0.538726E+00 0.289998E+00 -.157463E+01 -.146250E+01 0.504050E-02 0.120696E-02
  38 0.404000E+01 0.755826E-02 0.588903E+00 0.588980E+00 -.346750E+00 -.166969E+01 -.157181E+01 0.445108E-02 0.658678E-03
  38 0.400000E+01 0.628444E+00 0.652425E-02 0.628498E+00 0.394899E+00 -.174513E+01 -.161963E+01 0.410013E-02 0.431016E-03
  39 0.440000E+01 0.200476E-01 0.202113E-01 0.316255E-01 -.659007E-05 -.104631E+01 -.100550E+01 0.405189E-03 0.999934E+00
  39 0.436000E+01 0.224901E-01 0.221344E-01 0.351026E-01 0.158753E-04 -.106425E+01 -.100019E+01 0.497804E-03 0.999746E+00
  39 0.432000E+01 0.258945E-01 0.258567E-01 0.406440E-01 0.195853E-05 -.108000E+01 -.103106E+01 0.669547E-03 0.999998E+00
  39 0.428000E+01 0.310777E-01 0.308465E-01 0.486299E-01 0.143220E-04 -.111556E+01 -.106000E+01 0.958639E-03 0.999944E+00
  39 0.424000E+01 0.394867E-01 0.403403E-01 0.627945E-01 -.681402E-04 -.114000E+01 -.108594E+01 0.159291E-02 0.999543E+00
  39 0.420000E+01 0.623888E-01 0.651426E-01 0.101878E+00 -.351196E-03 -.122619E+01 -.108169E+01 0.406416E-02 0.998137E+00
  39 0.416000E+01 0.197535E+00 0.151673E+00 0.324923E+00 0.160151E-01 -.136338E+01 -.119275E+01 0.299607E-01 0.933330E+00
  39 0.412000E+01 0.467559E+00 0.125762E-01 0.467833E+00 0.218454E+00 -.149719E+01 -.132063E+01 0.588013E-02 0.288974E-02
  39 0.408000E+01 0.931291E-02 0.538496E+00 0.538624E+00 -.289891E+00 -.157756E+01 -.148881E+01 0.501497E-02 0.119566E-02
