# Temperature =   0.8000000000000000E+01
# disorder configuration = 1
# stripe magnitudes =   0.1636570116617967E+00   0.4587732215743671E+00
# expected mean locnem =   0.7347570054706153E+00
# measured mean locnem =   0.9413533819241983E+00
# ix iy iz isite occu <s(isite)> <locnem(isite)>
     0      0      0      0   1  -0.3860000000E-02  -0.3485500000E+01
     1      0      0      1   1   0.3600000000E-03  -0.3334640000E+01
     2      0      0      2   1  -0.1880000000E-02  -0.3020500000E+01
     3      0      0      3   1   0.1240000000E-02  -0.2650160000E+01
     4      0      0      4   1  -0.3600000000E-03  -0.1508780000E+01
     5      0      0      5   1   0.6800000000E-03   0.7298200000E+00
     6      0      0      6   1  -0.5200000000E-03   0.6227200000E+00
     7      0      0      7   1  -0.8600000000E-03  -0.1227600000E+00
     8      0      0      8   1  -0.2080000000E-02  -0.1198960000E+01
     9      0      0      9   1  -0.1320000000E-02  -0.1699960000E+01
    10      0      0     10   1  -0.1800000000E-02  -0.1714860000E+01
    11      0      0     11   1   0.6000000000E-03  -0.1413360000E+01
    12      0      0     12   1   0.1200000000E-03  -0.1862900000E+01
    13      0      0     13   1   0.3420000000E-02  -0.3038760000E+01
     0      1      0     14   1  -0.2920000000E-02  -0.3603320000E+01
     1      1      0     15   1   0.3200000000E-02  -0.3466060000E+01
     2      1      0     16   1  -0.1500000000E-02  -0.2970500000E+01
     3      1      0     17   1  -0.1620000000E-02  -0.2704300000E+01
     4      1      0     18   1  -0.2460000000E-02  -0.1978400000E+01
     5      1      0     19   1   0.3580000000E-02  -0.6500800000E+00
     6      1      0     20   1  -0.1100000000E-02  -0.7669800000E+00
     7      1      0     21   1  -0.6340000000E-02  -0.1078660000E+01
     8      1      0     22   1  -0.3200000000E-03  -0.1873360000E+01
     9      1      0     23   1  -0.1200000000E-02  -0.2227460000E+01
    10      1      0     24   1  -0.5400000000E-03  -0.2228820000E+01
    11      1      0     25   1  -0.1320000000E-02  -0.1466080000E+01
    12      1      0     26   1   0.3800000000E-02  -0.1341680000E+01
    13      1      0     27   1   0.1980000000E-02  -0.2750940000E+01
     0      2      0     28   1  -0.1840000000E-02  -0.3344640000E+01
     1      2      0     29   1   0.3160000000E-02  -0.3221140000E+01
     2      2      0     30   1   0.0000000000E+00  -0.2733240000E+01
     3      2      0     31   1   0.4420000000E-02  -0.2719400000E+01
     4      2      0     32   1  -0.3240000000E-02  -0.2485460000E+01
     5      2      0     33   1   0.1160000000E-02  -0.1698800000E+01
     6      2      0     34   1   0.9400000000E-03  -0.1032080000E+01
     7      2      0     35   1   0.5400000000E-03  -0.1196940000E+01
     8      2      0     36   1   0.4580000000E-02  -0.1682900000E+01
     9      2      0     37   1  -0.7600000000E-03  -0.2099640000E+01
    10      2      0     38   1   0.6600000000E-03  -0.2065260000E+01
    11      2      0     39   1  -0.3260000000E-02  -0.1374240000E+01
    12      2      0     40   1  -0.2060000000E-02  -0.8721200000E+00
    13      2      0     41   1  -0.6000000000E-03  -0.2055840000E+01
     0      3      0     42   1   0.1600000000E-03  -0.3406220000E+01
     1      3      0     43   1   0.1500000000E-02  -0.3448880000E+01
     2      3      0     44   1  -0.1320000000E-02  -0.3089580000E+01
     3      3      0     45   1   0.2180000000E-02  -0.2857800000E+01
     4      3      0     46   1  -0.4600000000E-03  -0.2629040000E+01
     5      3      0     47   1   0.1600000000E-02  -0.1268040000E+01
     6      3      0     48   1   0.4000000000E-04  -0.5999200000E+00
     7      3      0     49   1  -0.1600000000E-03  -0.7918400000E+00
     8      3      0     50   1  -0.1440000000E-02  -0.4442600000E+00
     9      3      0     51   1  -0.1120000000E-02  -0.1156260000E+01
    10      3      0     52   1   0.4380000000E-02  -0.1523220000E+01
    11      3      0     53   1  -0.5200000000E-03  -0.1032180000E+01
    12      3      0     54   1  -0.4020000000E-02  -0.9827600000E+00
    13      3      0     55   1   0.5600000000E-03  -0.2124540000E+01
     0      4      0     56   1  -0.2200000000E-02  -0.3385020000E+01
     1      4      0     57   1  -0.7600000000E-03  -0.3300660000E+01
     2      4      0     58   1  -0.1100000000E-02  -0.2856040000E+01
     3      4      0     59   1  -0.2000000000E-02  -0.2441700000E+01
     4      4      0     60   1  -0.1460000000E-02  -0.1263640000E+01
     5      4      0     61   1   0.6000000000E-04   0.7996400000E+00
     6      4      0     62   1  -0.3100000000E-02   0.1448900000E+01
     7      4      0     63   1  -0.3340000000E-02   0.1365740000E+01
     8      4      0     64   1  -0.4000000000E-02   0.1499040000E+01
     9      4      0     65   1  -0.1760000000E-02   0.3262600000E+00
    10      4      0     66   1   0.9600000000E-03  -0.3841400000E+00
    11      4      0     67   1   0.1880000000E-02  -0.4799000000E+00
    12      4      0     68   1  -0.2780000000E-02  -0.1138220000E+01
    13      4      0     69   1   0.4000000000E-03  -0.2536680000E+01
     0      5      0     70   1  -0.1400000000E-03  -0.3192420000E+01
     1      5      0     71   1  -0.6000000000E-04  -0.3093980000E+01
