 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9003
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.872222E+01 0.325698E+00 0.106406E+00 0.114559E-01 0.474197E-01 0.988198E+00 0.411848E+01 0.992171E+00 0.280894E-02 0.782148E-02 0.130517E+01 0.277191E+00 0.769129E-01 0.593926E-02 0.665799E+00 0.103199E-03 0.165632E+00 0.294932E-01 0.103811E-02 0.617715E+00 0.297574E-01 0.457407E-01 0.576549E-02 0.750442E+00 0.110158E+00
 0.877778E+01 0.317378E+00 0.101063E+00 0.103441E-01 0.472267E-01 0.987225E+00 0.408319E+01 0.991768E+00 0.254658E-02 0.805322E-02 0.105828E+01 0.272144E+00 0.741447E-01 0.552153E-02 0.665714E+00 0.122030E-03 0.157204E+00 0.269179E-01 0.890503E-03 0.608151E+00 0.350871E-01 0.425964E-01 0.602178E-02 0.722848E+00 0.123907E+00
 0.883333E+01 0.309189E+00 0.959262E-01 0.932459E-02 0.468466E-01 0.986660E+00 0.400515E+01 0.991463E+00 0.211950E-02 0.796534E-02 0.768918E+00 0.267018E+00 0.713864E-01 0.512073E-02 0.665619E+00 0.142455E-03 0.149238E+00 0.245398E-01 0.759924E-03 0.599348E+00 0.396137E-01 0.396506E-01 0.609676E-02 0.696928E+00 0.135325E+00
 0.888889E+01 0.301113E+00 0.909859E-01 0.839157E-02 0.462890E-01 0.986333E+00 0.397332E+01 0.991063E+00 0.168878E-02 0.761572E-02 0.516257E+00 0.261807E+00 0.686375E-01 0.473660E-02 0.665494E+00 0.169142E-03 0.141730E+00 0.223484E-01 0.644894E-03 0.591062E+00 0.434518E-01 0.368992E-01 0.600512E-02 0.673108E+00 0.143740E+00
 0.894444E+01 0.293207E+00 0.862678E-01 0.754323E-02 0.455561E-01 0.986414E+00 0.386899E+01 0.990817E+00 0.124485E-02 0.708053E-02 0.300132E+00 0.256539E+00 0.659119E-01 0.437023E-02 0.665376E+00 0.185082E-03 0.134792E+00 0.203559E-01 0.544518E-03 0.584908E+00 0.456279E-01 0.343706E-01 0.577820E-02 0.651976E+00 0.148920E+00
 0.900000E+01 0.285462E+00 0.817678E-01 0.677632E-02 0.446016E-01 0.986488E+00 0.381220E+01 0.990436E+00 0.897070E-03 0.647500E-02 0.147253E+00 0.251154E+00 0.631847E-01 0.401865E-02 0.665225E+00 0.202614E-03 0.128409E+00 0.185831E-01 0.460278E-03 0.579463E+00 0.473919E-01 0.320422E-01 0.549657E-02 0.633206E+00 0.152270E+00
 0.905556E+01 0.277758E+00 0.774120E-01 0.607316E-02 0.434849E-01 0.986560E+00 0.373159E+01 0.990101E+00 0.529627E-03 0.590904E-02 0.894192E-02 0.245630E+00 0.604485E-01 0.368107E-02 0.665032E+00 0.221559E-03 0.122333E+00 0.169635E-01 0.389220E-03 0.573984E+00 0.491713E-01 0.298402E-01 0.522543E-02 0.615250E+00 0.155399E+00
 0.911111E+01 0.270327E+00 0.733239E-01 0.544834E-02 0.421784E-01 0.986618E+00 0.367237E+01 0.989678E+00 0.318898E-03 0.531513E-02 0.573125E-01 0.240060E+00 0.577512E-01 0.336278E-02 0.664811E+00 0.222473E-03 0.116939E+00 0.155727E-01 0.331171E-03 0.569209E+00 0.507366E-01 0.278682E-01 0.491414E-02 0.600604E+00 0.156505E+00
 0.916667E+01 0.262961E+00 0.693808E-01 0.487771E-02 0.407621E-01 0.986701E+00 0.358241E+01 0.989327E+00 0.143064E-03 0.476338E-02 0.998099E-01 0.234392E+00 0.550714E-01 0.306103E-02 0.664558E+00 0.226209E-03 0.111868E+00 0.143094E-01 0.282160E-03 0.564749E+00 0.523942E-01 0.260194E-01 0.462548E-02 0.587106E+00 0.157756E+00
 0.922222E+01 0.255662E+00 0.655884E-01 0.436020E-02 0.391504E-01 0.986433E+00 0.358228E+01 0.988712E+00 0.746947E-04 0.430431E-02 0.103999E+00 0.228524E+00 0.523688E-01 0.277176E-02 0.664170E+00 0.180132E-03 0.107379E+00 0.132196E-01 0.242360E-03 0.561256E+00 0.536010E-01 0.243433E-01 0.433660E-02 0.576994E+00 0.158005E+00
