 iconf, T, nbar, abs_nbar, nbar2, nbar4, nbinder
   1 0.400000E+01 0.164154E+01 0.164154E+01 0.270293E+01 0.739441E+01 0.662626E+00
   1 0.404000E+01 0.145259E+01 0.145259E+01 0.212073E+01 0.458701E+01 0.660033E+00
   1 0.408000E+01 0.122857E+01 0.122857E+01 0.152358E+01 0.240535E+01 0.654599E+00
   1 0.412000E+01 0.925091E+00 0.937669E+00 0.903076E+00 0.893979E+00 0.634609E+00
   1 0.416000E+01 -.159057E-01 0.464856E+00 0.267459E+00 0.116257E+00 0.458268E+00
   1 0.420000E+01 -.107660E-02 0.126641E+00 0.275510E-01 0.294752E-02 -.294380E+00
   1 0.424000E+01 0.707019E-03 0.760990E-01 0.964566E-02 0.352795E-03 -.263972E+00
   1 0.428000E+01 0.110829E-02 0.602618E-01 0.582771E-02 0.111022E-03 -.896568E-01
   1 0.432000E+01 -.509264E-03 0.532908E-01 0.450106E-02 0.632381E-04 -.404646E-01
   1 0.436000E+01 0.387464E-04 0.488690E-01 0.377155E-02 0.435508E-04 -.205496E-01
   1 0.440000E+01 -.645882E-04 0.453390E-01 0.323194E-02 0.315231E-04 -.596240E-02
   2 0.400000E+01 0.164208E+01 0.164208E+01 0.270490E+01 0.740721E+01 0.662534E+00
   2 0.404000E+01 0.145396E+01 0.145396E+01 0.212468E+01 0.460349E+01 0.660078E+00
   2 0.408000E+01 0.122943E+01 0.122943E+01 0.152580E+01 0.241284E+01 0.654529E+00
   2 0.412000E+01 0.942821E+00 0.942822E+00 0.911467E+00 0.906878E+00 0.636130E+00
   2 0.416000E+01 0.414624E-01 0.463748E+00 0.267958E+00 0.117227E+00 0.455785E+00
   2 0.420000E+01 -.299915E-02 0.133487E+00 0.307156E-01 0.363009E-02 -.282559E+00
   2 0.424000E+01 -.357920E-02 0.753786E-01 0.930600E-02 0.324686E-03 -.249732E+00
   2 0.428000E+01 0.960434E-03 0.600646E-01 0.576376E-02 0.106515E-03 -.687539E-01
   2 0.432000E+01 0.729563E-03 0.531032E-01 0.445826E-02 0.609260E-04 -.217623E-01
   2 0.436000E+01 0.540561E-04 0.486612E-01 0.373950E-02 0.431711E-04 -.290683E-01
   2 0.440000E+01 -.171020E-03 0.454907E-01 0.326679E-02 0.324837E-04 -.146176E-01
