 program J1J2_6          
 linear system size                56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9043
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed            2
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.9597655669723975E+00   3.3791486965051888E-02   6.0535646806798127E-01   4.2785186656041276E-03
   8.0555555555555554E+00  -3.9260231881268446E+00   3.4034660766844291E-02   6.0787911934978056E-01   4.2440016455843263E-03
   8.1111111111111107E+00  -3.8921489676115311E+00   3.4280009017237302E-02   6.1091448623071964E-01   5.6765275756855771E-03
   8.1666666666666661E+00  -3.8581108258183821E+00   3.4598828391098874E-02   6.1269971805242163E-01   5.1024921849997388E-03
   8.2222222222222214E+00  -3.8239433155680613E+00   3.4864280360734780E-02   6.1706726030065362E-01   4.3015174539662634E-03
   8.2777777777777786E+00  -3.7896876366242500E+00   3.5150569955971600E-02   6.1979135177279343E-01   6.2789197921534513E-03
   8.3333333333333339E+00  -3.7553090285545920E+00   3.5427595978615778E-02   6.1990978719998313E-01   5.8469040048583290E-03
   8.3888888888888893E+00  -3.7209476949797660E+00   3.5710765029518463E-02   6.1854388715971775E-01   4.3553547341546438E-03
   8.4444444444444446E+00  -3.6864634249796797E+00   3.5958075487723430E-02   6.2179446412383421E-01   4.3600925181946524E-03
   8.5000000000000000E+00  -3.6519581537917118E+00   3.6139239758030114E-02   6.2107955875152321E-01   3.8719146773116791E-03
   8.5555555555555554E+00  -3.6173842495570954E+00   3.6345018092914190E-02   6.2252195008536804E-01   3.2952841923430125E-03
   8.6111111111111107E+00  -3.5828755277113933E+00   3.6494560352884363E-02   6.2258565358846885E-01   2.9039247799340748E-03
   8.6666666666666661E+00  -3.5482985074605926E+00   3.6634771494329088E-02   6.2308245512227245E-01   1.8509580406427433E-03
   8.7222222222222214E+00  -3.5136689859140757E+00   3.6779479967537172E-02   6.2121802768534606E-01   2.3516402340010094E-03
   8.7777777777777786E+00  -3.4790557876527619E+00   3.6847974416089418E-02   6.2244043717802922E-01   2.0667251293583020E-03
   8.8333333333333339E+00  -3.4444233748645896E+00   3.6923625821261380E-02   6.2488219708575454E-01   1.4734748659264642E-03
   8.8888888888888893E+00  -3.4097277407518360E+00   3.7011368603756208E-02   6.2424681499317702E-01   1.0920182286726201E-03
   8.9444444444444446E+00  -3.3751499699609893E+00   3.7067962080922959E-02   6.2445122091020844E-01   9.0416144858367629E-04
   9.0000000000000000E+00  -3.3405279189632173E+00   3.7148029770404462E-02   6.2511511838649181E-01   5.3165668202178912E-04
   9.0555555555555554E+00  -3.3058596046845592E+00   3.7140335035033320E-02   6.2350233369786379E-01   1.2625035823492642E-03
   9.1111111111111107E+00  -3.2712750592678304E+00   3.7167772282220242E-02   6.2183754887664355E-01   1.3952663567104364E-03
   9.1666666666666661E+00  -3.2366948363969721E+00   3.7154311551596680E-02   6.2087324002574329E-01   3.3907823131205550E-05
   9.2222222222222214E+00  -3.2022278837856222E+00   3.7141482355976189E-02   6.1957293550601711E-01   1.3907154402784363E-04
   9.2777777777777786E+00  -3.1678933664687059E+00   3.7086004849687000E-02   6.1743269543979606E-01   1.6618605253039492E-03
   9.3333333333333339E+00  -3.1336167237631369E+00   3.7053091377800849E-02   6.1308145838867734E-01   2.2396399563408133E-03
   9.3888888888888893E+00  -3.0994200639244389E+00   3.6954419143992084E-02   6.1277491252887439E-01   9.0237330322036368E-04
   9.4444444444444446E+00  -3.0653772861813593E+00   3.6859894493640091E-02   6.1360743225529768E-01   1.6863048102800093E-03
   9.5000000000000000E+00  -3.0313670417170764E+00   3.6741954620060462E-02   6.1008026671264393E-01   2.3263234175422390E-03
   9.5555555555555554E+00  -2.9975205124565871E+00   3.6591335471330720E-02   6.0867059432081527E-01   2.6460896143936192E-03
   9.6111111111111107E+00  -2.9638257508228554E+00   3.6400151856059271E-02   6.0413397620381382E-01   4.6207124594182560E-03
   9.6666666666666661E+00  -2.9302431981832688E+00   3.6197715378883090E-02   6.0216742740069296E-01   4.3281131732404938E-03
   9.7222222222222214E+00  -2.8968270713858901E+00   3.5939864148255569E-02   6.0111222878563586E-01   4.4068807934287118E-03
   9.7777777777777786E+00  -2.8635801530331548E+00   3.5660934538816573E-02   5.9774618633671195E-01   6.0212477867417763E-03
   9.8333333333333339E+00  -2.8305661359986063E+00   3.5276392138466055E-02   5.9449328857681705E-01   6.7093933879254115E-03
   9.8888888888888893E+00  -2.7976486390074404E+00   3.4882529239822956E-02   5.9098245182414433E-01   7.1851634133533746E-03
   9.9444444444444446E+00  -2.7649962450219836E+00   3.4399944930663284E-02   5.8643332293696326E-01   8.3941640780652738E-03
   1.0000000000000000E+01  -2.7326326806185293E+00   3.3914201231178380E-02   5.7972367127177238E-01   9.1511959246269627E-03
   1.0055555555555555E+01  -2.7004385504519210E+00   3.3414616396442630E-02   5.7493522540452235E-01   8.6449166311817083E-03
   1.0111111111111111E+01  -2.6686544845820697E+00   3.2899087393822538E-02   5.7082368608151901E-01   9.7072589850985148E-03
   1.0166666666666666E+01  -2.6371240307032200E+00   3.2332834417608182E-02   5.6287558263645110E-01   9.7571215744251035E-03
   1.0222222222222221E+01  -2.6059844950174802E+00   3.1814805314887278E-02   5.5648949938694625E-01   9.5547873106665553E-03
   1.0277777777777779E+01  -2.5751477866762684E+00   3.1220627634500620E-02   5.5267872683677599E-01   9.1965889865210353E-03
   1.0333333333333334E+01  -2.5446674768067554E+00   3.0717468597634575E-02   5.4525216594819892E-01   9.6770195261265818E-03
   1.0388888888888889E+01  -2.5145721934581280E+00   3.0193151737572119E-02   5.3710568020536797E-01   8.9379078800295580E-03
   1.0444444444444445E+01  -2.4847513538109700E+00   2.9673411045219464E-02   5.3333328893347431E-01   9.8098516208431196E-03
   1.0500000000000000E+01  -2.4553118012068924E+00   2.9151972223795262E-02   5.2775737490113284E-01   1.0122477808554443E-02
   1.0555555555555555E+01  -2.4262603596809118E+00   2.8619075755234192E-02   5.1874871643226939E-01   1.0070525018796659E-02
   1.0611111111111111E+01  -2.3976675509374683E+00   2.8103875135763404E-02   5.1225903632574488E-01   9.3014849168133202E-03
   1.0666666666666666E+01  -2.3693782335883657E+00   2.7629452446006106E-02   5.0620581603073389E-01   9.0185158554549217E-03
   1.0722222222222221E+01  -2.3414202780778517E+00   2.7107946510550415E-02   4.9980892684298339E-01   8.4782114476802482E-03
   1.0777777777777779E+01  -2.3139904108320515E+00   2.6663318333645904E-02   4.9168022213866241E-01   7.3195362128616083E-03
   1.0833333333333334E+01  -2.2868792371465814E+00   2.6201367047142952E-02   4.8364464308989008E-01   7.9544545669468000E-03
   1.0888888888888889E+01  -2.2602115097584807E+00   2.5770653768488101E-02   4.7753477002634415E-01   7.9408930260942909E-03
   1.0944444444444445E+01  -2.2339449896431489E+00   2.5330045573954102E-02   4.6808369047240628E-01   7.7891497749657378E-03
   1.1000000000000000E+01  -2.2080932015501791E+00   2.4900163436028303E-02   4.6190028178648956E-01   7.7763018722627510E-03
   1.1055555555555555E+01  -2.1826759368484678E+00   2.4523817943906397E-02   4.5461079700767149E-01   7.4242566076399962E-03
   1.1111111111111111E+01  -2.1576753668547859E+00   2.4095914587950767E-02   4.4545484382267730E-01   6.8370232989869951E-03
   1.1166666666666666E+01  -2.1331347891864505E+00   2.3698249311269279E-02   4.3921806372647859E-01   7.3192860268023203E-03
   1.1222222222222221E+01  -2.1090052303506255E+00   2.3329183099586571E-02   4.2970215568584413E-01   7.0842169100938674E-03
   1.1277777777777779E+01  -2.0853805306583730E+00   2.2887391513506886E-02   4.2274560480578149E-01   7.4211450664549436E-03
   1.1333333333333334E+01  -2.0621591830356270E+00   2.2513988536093297E-02   4.1258584423067907E-01   7.0835301118067386E-03
   1.1388888888888889E+01  -2.0394279804367139E+00   2.2116940834785447E-02   4.0575394748205507E-01   7.1313065533072546E-03
   1.1444444444444445E+01  -2.0171062620004965E+00   2.1695013586918197E-02   3.9811260236165502E-01   7.4261206507762927E-03
   1.1500000000000000E+01  -1.9952473025353676E+00   2.1280741303692823E-02   3.8980937317650033E-01   7.4393060773582775E-03
