 program J1J2_6          
 linear system size                56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9187
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed            2
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8137947741872873E+00   2.9154556230842850E-02   6.1619813300740844E-01   1.6380471269004085E-03
   8.0555555555555554E+00  -3.7796179286640510E+00   2.9196870536267027E-02   6.1838862272782236E-01   6.3556827997713759E-04
   8.1111111111111107E+00  -3.7452574473374827E+00   2.9237629715394280E-02   6.2030651265986048E-01   1.0457978400539927E-03
   8.1666666666666661E+00  -3.7107971563657802E+00   2.9276331428143551E-02   6.2211884566230391E-01   1.1498809053432110E-03
   8.2222222222222214E+00  -3.6762083386270010E+00   2.9310711912255483E-02   6.2347449772471841E-01   2.9646854968606639E-04
   8.2777777777777786E+00  -3.6415415696558799E+00   2.9326986067540604E-02   6.2692438731852951E-01   5.0770068090055256E-04
   8.3333333333333339E+00  -3.6067848746663289E+00   2.9362258535431892E-02   6.2764032386421309E-01   4.0959705878363702E-04
   8.3888888888888893E+00  -3.5720119595408399E+00   2.9302794090099119E-02   6.2731593899722538E-01   1.2494656040813840E-03
   8.4444444444444446E+00  -3.5370602315314885E+00   2.9301390486615515E-02   6.2859533554247016E-01   7.6400366750939885E-04
   8.5000000000000000E+00  -3.5021565752899964E+00   2.9293105008609478E-02   6.2913588780643570E-01   5.2966466218594670E-04
   8.5555555555555554E+00  -3.4671901467988469E+00   2.9286219747619208E-02   6.2959638940351437E-01   1.3582477954437345E-03
   8.6111111111111107E+00  -3.4322368124236649E+00   2.9258109419624014E-02   6.3039811567943738E-01   1.1990388065597037E-03
   8.6666666666666661E+00  -3.3973290886263543E+00   2.9192575796624001E-02   6.2908492689361206E-01   9.6820253964824540E-04
   8.7222222222222214E+00  -3.3624481340788774E+00   2.9099471445099574E-02   6.2767190368761072E-01   2.9280720296566550E-03
   8.7777777777777786E+00  -3.3275873064497699E+00   2.8995231197891703E-02   6.2626418730991995E-01   2.1228463288689940E-03
   8.8333333333333339E+00  -3.2927867793989147E+00   2.8882791375480381E-02   6.2595190813302715E-01   3.2191252981699802E-03
   8.8888888888888893E+00  -3.2581708281852211E+00   2.8716719788805092E-02   6.2447542625127517E-01   1.9782039631399341E-03
   8.9444444444444446E+00  -3.2236024655167581E+00   2.8557163483003217E-02   6.2201315779932220E-01   2.0137138644156414E-03
   9.0000000000000000E+00  -3.1891956306071219E+00   2.8380609451586044E-02   6.2034545768949412E-01   4.3038153519309921E-03
   9.0555555555555554E+00  -3.1548338680798196E+00   2.8153187032923480E-02   6.1514450769577200E-01   4.0355875049591242E-03
   9.1111111111111107E+00  -3.1205790524330990E+00   2.7995911017444051E-02   6.1510859525580686E-01   2.8082687343903997E-03
   9.1666666666666661E+00  -3.0865320115231629E+00   2.7777193534905726E-02   6.1414682076462279E-01   4.8241201948968438E-03
   9.2222222222222214E+00  -3.0524988493548708E+00   2.7588338439348666E-02   6.1008605978830543E-01   3.0067243350132959E-03
   9.2777777777777786E+00  -3.0186516111192381E+00   2.7355780590754952E-02   6.0793351784426997E-01   4.1463105307488106E-03
   9.3333333333333339E+00  -2.9850678547997962E+00   2.7194212621955049E-02   6.0454711451336596E-01   3.2556112815640484E-03
   9.3888888888888893E+00  -2.9516208007218756E+00   2.7014841952054346E-02   5.9997273601782308E-01   2.6710857123346263E-03
   9.4444444444444446E+00  -2.9182819019386677E+00   2.6864952206053613E-02   5.9798730358386298E-01   3.7267975002077494E-03
   9.5000000000000000E+00  -2.8851911194047233E+00   2.6668599641820615E-02   5.9235717737435434E-01   3.1832032346957497E-03
   9.5555555555555554E+00  -2.8523024028143604E+00   2.6509240400441513E-02   5.9013510871709496E-01   2.7404569300389777E-03
   9.6111111111111107E+00  -2.8196537307548963E+00   2.6353735446604347E-02   5.8510045445983783E-01   2.9979654353712096E-03
   9.6666666666666661E+00  -2.7872407663968159E+00   2.6182341661575136E-02   5.8124394201474772E-01   2.8663283517999711E-03
   9.7222222222222214E+00  -2.7550968436864096E+00   2.5966775858827205E-02   5.7745029689726368E-01   3.4605723891041689E-03
   9.7777777777777786E+00  -2.7232293795318387E+00   2.5788771230369864E-02   5.6911573351664013E-01   4.1919023209931513E-03
   9.8333333333333339E+00  -2.6916048775102692E+00   2.5596075098169267E-02   5.6640079487746542E-01   2.2473953711716122E-03
