 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 -.142330E+00 0.203728E-01 0.424402E-03 0.659158E+00
   1 0.805556E+01 -.140935E+00 0.199786E-01 0.408371E-03 0.658961E+00
   1 0.811111E+01 -.139579E+00 0.195980E-01 0.393132E-03 0.658811E+00
   1 0.816667E+01 -.138269E+00 0.192338E-01 0.378802E-03 0.658680E+00
   1 0.822222E+01 -.136877E+00 0.188515E-01 0.364111E-03 0.658476E+00
   1 0.827778E+01 -.135500E+00 0.184767E-01 0.349969E-03 0.658288E+00
   1 0.833333E+01 -.134131E+00 0.181079E-01 0.336313E-03 0.658108E+00
   1 0.838889E+01 -.132823E+00 0.177590E-01 0.323676E-03 0.657900E+00
   1 0.844444E+01 -.131513E+00 0.174128E-01 0.311339E-03 0.657725E+00
   1 0.850000E+01 -.130147E+00 0.170554E-01 0.298840E-03 0.657553E+00
   1 0.855556E+01 -.128807E+00 0.167083E-01 0.286969E-03 0.657351E+00
   1 0.861111E+01 -.127508E+00 0.163755E-01 0.275804E-03 0.657159E+00
   1 0.866667E+01 -.126143E+00 0.160300E-01 0.264483E-03 0.656907E+00
   1 0.872222E+01 -.124757E+00 0.156817E-01 0.253256E-03 0.656716E+00
   1 0.877778E+01 -.123402E+00 0.153461E-01 0.242726E-03 0.656443E+00
   1 0.883333E+01 -.122010E+00 0.150043E-01 0.232168E-03 0.656245E+00
   1 0.888889E+01 -.120652E+00 0.146747E-01 0.222234E-03 0.656005E+00
   1 0.894444E+01 -.119246E+00 0.143382E-01 0.212361E-03 0.655676E+00
   1 0.900000E+01 -.117937E+00 0.140276E-01 0.203385E-03 0.655465E+00
   1 0.905556E+01 -.116520E+00 0.136946E-01 0.193966E-03 0.655249E+00
   1 0.911111E+01 -.115112E+00 0.133692E-01 0.185049E-03 0.654894E+00
   1 0.916667E+01 -.113729E+00 0.130524E-01 0.176507E-03 0.654653E+00
   1 0.922222E+01 -.112303E+00 0.127304E-01 0.168074E-03 0.654306E+00
   1 0.927778E+01 -.110894E+00 0.124160E-01 0.160011E-03 0.654006E+00
   1 0.933333E+01 -.109451E+00 0.120980E-01 0.152076E-03 0.653654E+00
   1 0.938889E+01 -.108008E+00 0.117843E-01 0.144436E-03 0.653307E+00
   1 0.944444E+01 -.106619E+00 0.114859E-01 0.137337E-03 0.652996E+00
   1 0.950000E+01 -.105146E+00 0.111744E-01 0.130143E-03 0.652583E+00
   1 0.955556E+01 -.103711E+00 0.108747E-01 0.123398E-03 0.652182E+00
   1 0.961111E+01 -.102282E+00 0.105803E-01 0.116935E-03 0.651802E+00
   1 0.966667E+01 -.100873E+00 0.102940E-01 0.110817E-03 0.651408E+00
   1 0.972222E+01 -.994183E-01 0.100025E-01 0.104762E-03 0.650967E+00
   1 0.977778E+01 -.980064E-01 0.972363E-02 0.991262E-04 0.650530E+00
   1 0.983333E+01 -.965747E-01 0.944485E-02 0.936426E-04 0.650085E+00
   1 0.988889E+01 -.951977E-01 0.917997E-02 0.885548E-04 0.649726E+00
   1 0.994444E+01 -.938726E-01 0.892887E-02 0.838706E-04 0.649333E+00
   1 0.100000E+02 -.926077E-01 0.869222E-02 0.795619E-04 0.648987E+00
   1 0.100556E+02 -.913135E-01 0.845370E-02 0.753416E-04 0.648585E+00
   1 0.101111E+02 -.900480E-01 0.822362E-02 0.713819E-04 0.648164E+00
   1 0.101667E+02 -.888149E-01 0.800275E-02 0.676879E-04 0.647701E+00
   1 0.102222E+02 -.876648E-01 0.779891E-02 0.643493E-04 0.647341E+00
   1 0.102778E+02 -.865028E-01 0.759636E-02 0.611297E-04 0.646882E+00
   1 0.103333E+02 -.853304E-01 0.739402E-02 0.579799E-04 0.646496E+00
   1 0.103889E+02 -.841464E-01 0.719334E-02 0.549624E-04 0.645934E+00
   1 0.104444E+02 -.830125E-01 0.700318E-02 0.521591E-04 0.645498E+00
   1 0.105000E+02 -.819154E-01 0.682153E-02 0.495495E-04 0.645060E+00
   1 0.105556E+02 -.807623E-01 0.663328E-02 0.469125E-04 0.644605E+00
   1 0.106111E+02 -.796592E-01 0.645572E-02 0.444937E-04 0.644133E+00
   1 0.106667E+02 -.785173E-01 0.627424E-02 0.420858E-04 0.643637E+00
   1 0.107222E+02 -.773989E-01 0.609951E-02 0.398376E-04 0.643071E+00
   1 0.107778E+02 -.762795E-01 0.592666E-02 0.376634E-04 0.642580E+00
   1 0.108333E+02 -.751663E-01 0.575758E-02 0.356027E-04 0.642001E+00
   1 0.108889E+02 -.740482E-01 0.559013E-02 0.336175E-04 0.641408E+00
   1 0.109444E+02 -.729878E-01 0.543349E-02 0.318105E-04 0.640838E+00
   1 0.110000E+02 -.718737E-01 0.527172E-02 0.300043E-04 0.640120E+00
   1 0.110556E+02 -.708469E-01 0.512410E-02 0.283848E-04 0.639646E+00
   1 0.111111E+02 -.697697E-01 0.497154E-02 0.267571E-04 0.639141E+00
   1 0.111667E+02 -.687766E-01 0.483361E-02 0.253432E-04 0.638427E+00
   1 0.112222E+02 -.678396E-01 0.470463E-02 0.240401E-04 0.637955E+00
   1 0.112778E+02 -.669071E-01 0.457815E-02 0.228009E-04 0.637381E+00
   1 0.113333E+02 -.659260E-01 0.444679E-02 0.215446E-04 0.636820E+00
   1 0.113889E+02 -.650583E-01 0.433236E-02 0.204797E-04 0.636293E+00
