 program J1J2_6          
 linear system size                56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9061
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed            2
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.8333333333333339E+00  -3.4346257630429071E+00   7.8558761371359073E-02   6.2141682669146348E-01   1.3097054576840100E-03
   8.8888888888888893E+00  -3.4001785552939765E+00   7.8573172792557988E-02   6.1885620769054617E-01   7.0273406143237763E-04
   8.9444444444444446E+00  -3.3657259436240623E+00   7.8633832241172458E-02   6.1925489337856110E-01   7.1882677805488581E-04
   9.0000000000000000E+00  -3.3313328847086567E+00   7.8601715335935032E-02   6.1705524497641318E-01   4.8562619521784570E-04
   9.0555555555555554E+00  -3.2970028951307206E+00   7.8535161662694600E-02   6.1963392312294840E-01   2.2841277448866571E-03
   9.1111111111111107E+00  -3.2626728151626132E+00   7.8438151338020720E-02   6.1718979903088012E-01   2.2305315701345212E-03
   9.1666666666666661E+00  -3.2284535944532964E+00   7.8352052006222431E-02   6.1461115721706383E-01   2.5150572249103662E-03
   9.2222222222222214E+00  -3.1942777128059259E+00   7.8277061801255252E-02   6.1221698519929346E-01   1.5494304840965459E-03
   9.2777777777777786E+00  -3.1603297374626864E+00   7.8170814661530114E-02   6.1022625896240590E-01   1.5569420454094197E-03
   9.3333333333333339E+00  -3.1264755736848735E+00   7.8065050734455022E-02   6.0814808111385321E-01   1.4985237541124722E-03
   9.3888888888888893E+00  -3.0927677852688911E+00   7.7972557095222828E-02   6.0576696894309978E-01   1.3782613213032260E-03
   9.4444444444444446E+00  -3.0590904739236988E+00   7.7918846008097439E-02   6.0378611777392899E-01   1.5009118543065901E-03
   9.5000000000000000E+00  -3.0256577643454232E+00   7.7844790954937723E-02   5.9911538528440422E-01   7.4426739207295977E-04
   9.5555555555555554E+00  -2.9924104298395928E+00   7.7807092293996946E-02   5.9883902771938957E-01   7.9415271478274266E-05
   9.6111111111111107E+00  -2.9592654958501861E+00   7.7742963858777867E-02   5.9472426069346096E-01   1.1256818984760107E-03
   9.6666666666666661E+00  -2.9263225332962985E+00   7.7649489954807083E-02   5.9156211235630651E-01   1.4782666056177385E-03
   9.7222222222222214E+00  -2.8935752432922008E+00   7.7598798645734240E-02   5.8773109943814938E-01   9.8016287168955292E-04
   9.7777777777777786E+00  -2.8610068359857568E+00   7.7561775846866923E-02   5.8295372938047596E-01   1.4024045465612757E-03
   9.8333333333333339E+00  -2.8286667255456619E+00   7.7470639552469425E-02   5.8005199186614076E-01   2.3121636408333442E-03
   9.8888888888888893E+00  -2.7965480631141024E+00   7.7345761111786995E-02   5.7626754973389216E-01   3.2067929000546593E-03
   9.9444444444444446E+00  -2.7645850176745199E+00   7.7199165485294319E-02   5.7230882687165940E-01   3.0698956119959947E-03
   1.0000000000000000E+01  -2.7329492906753021E+00   7.6962458615628324E-02   5.6845919028522085E-01   3.3613669564049715E-03
   1.0055555555555555E+01  -2.7015133159232882E+00   7.6665120925043406E-02   5.6226863217627132E-01   4.9231035106078675E-03
   1.0111111111111111E+01  -2.6703606260133474E+00   7.6335479625730646E-02   5.5766903951137392E-01   5.8421038305678363E-03
   1.0166666666666666E+01  -2.6394550566124195E+00   7.5980507754591600E-02   5.5268368778003985E-01   6.7942821165574031E-03
   1.0222222222222221E+01  -2.6088642872210484E+00   7.5558551825532907E-02   5.4850314226518082E-01   7.0012957733584227E-03
   1.0277777777777779E+01  -2.5785135323601835E+00   7.5074951875462675E-02   5.4287378879926818E-01   8.4854640157651443E-03
   1.0333333333333334E+01  -2.5485522339449793E+00   7.4514078933097333E-02   5.3622204706124899E-01   1.0082668330324363E-02
   1.0388888888888889E+01  -2.5189098032793562E+00   7.3983490432625934E-02   5.3109478569403168E-01   1.1602264372444078E-02
   1.0444444444444445E+01  -2.4895941336387923E+00   7.3385654823458740E-02   5.2314510201642428E-01   1.0364816956400121E-02
   1.0500000000000000E+01  -2.4606753273824369E+00   7.2706084038737989E-02   5.1873153228946944E-01   1.2353398822089389E-02
   1.0555555555555555E+01  -2.4319751953481248E+00   7.2059273394883078E-02   5.1347106586137281E-01   1.2099236961269438E-02
   1.0611111111111111E+01  -2.4037753897161735E+00   7.1395470406513173E-02   5.0584199581663358E-01   1.2355014651814055E-02
   1.0666666666666666E+01  -2.3758605366998271E+00   7.0672086370258028E-02   4.9934606070198617E-01   1.3477830617477699E-02
   1.0722222222222221E+01  -2.3483219688027468E+00   6.9894133786704477E-02   4.9222478710796924E-01   1.3533462700695893E-02
   1.0777777777777779E+01  -2.3211514358549090E+00   6.9135602600432305E-02   4.8589528120990022E-01   1.4046580007632033E-02
   1.0833333333333334E+01  -2.2943120899258123E+00   6.8312268942368554E-02   4.7950744777182719E-01   1.4838171623774059E-02
   1.0888888888888889E+01  -2.2679164469986990E+00   6.7517456940052858E-02   4.7242017991913232E-01   1.4695166869303904E-02
   1.0944444444444445E+01  -2.2418197836880811E+00   6.6641884435917564E-02   4.6578686616341280E-01   1.5645713799433712E-02
   1.1000000000000000E+01  -2.2161663355134849E+00   6.5785049590070407E-02   4.5938574073860095E-01   1.6036505070683372E-02
   1.1055555555555555E+01  -2.1908515517433593E+00   6.4887924531342234E-02   4.5215069202764746E-01   1.7231605124627972E-02
   1.1111111111111111E+01  -2.1659300043227292E+00   6.3953705112244769E-02   4.4597184270235946E-01   1.6812074050318270E-02
   1.1166666666666666E+01  -2.1413595763420950E+00   6.3031246441155223E-02   4.3867676681169110E-01   1.6685910668138421E-02
   1.1222222222222221E+01  -2.1172006306591324E+00   6.2124164164788685E-02   4.3256825510205943E-01   1.7341251497512596E-02
   1.1277777777777779E+01  -2.0933670686132451E+00   6.1159904512488830E-02   4.2471984046282396E-01   1.7589653342725362E-02
   1.1333333333333334E+01  -2.0699879486064789E+00   6.0167930911727993E-02   4.1732902935801075E-01   1.7621701790478457E-02
   1.1388888888888889E+01  -2.0469699764648333E+00   5.9195194777780298E-02   4.1042658105620677E-01   1.7899563045231229E-02
   1.1444444444444445E+01  -2.0243856833168792E+00   5.8230858248964873E-02   4.0409098404417088E-01   1.7492019216092291E-02
   1.1500000000000000E+01  -2.0021563953395725E+00   5.7204268457742929E-02   3.9614094078961726E-01   1.7799729768272824E-02
