# Temperature =   0.4000000000000000E+01
# disorder configuration = 1
# stripe magnitudes =   0.1824560250000054E-01   0.6286971674999905E+00
# expected mean locnem =   0.1579708905647693E+01
# measured mean locnem =   0.1642910850000000E+01
# ix iy iz isite occu <s(isite)> <locnem(isite)>
     0      0      0      0   1  -0.6275400000E+00   0.1636540000E+01
     1      0      0      1   1  -0.6246400000E+00   0.1638040000E+01
     2      0      0      2   1  -0.6304800000E+00   0.1649740000E+01
     3      0      0      3   1  -0.6304600000E+00   0.1650940000E+01
     4      0      0      4   1  -0.6255600000E+00   0.1636600000E+01
     5      0      0      5   1  -0.6310800000E+00   0.1644180000E+01
     6      0      0      6   1  -0.6261800000E+00   0.1648660000E+01
     7      0      0      7   1  -0.6277400000E+00   0.1647620000E+01
     8      0      0      8   1  -0.6312800000E+00   0.1648360000E+01
     9      0      0      9   1  -0.6258400000E+00   0.1646480000E+01
    10      0      0     10   1  -0.6294800000E+00   0.1640760000E+01
    11      0      0     11   1  -0.6247600000E+00   0.1633920000E+01
    12      0      0     12   1  -0.6318000000E+00   0.1642420000E+01
    13      0      0     13   1  -0.6279000000E+00   0.1636480000E+01
    14      0      0     14   1  -0.6306400000E+00   0.1640380000E+01
    15      0      0     15   1  -0.6259400000E+00   0.1638100000E+01
    16      0      0     16   1  -0.6270200000E+00   0.1637900000E+01
    17      0      0     17   1  -0.6277600000E+00   0.1647640000E+01
    18      0      0     18   1  -0.6255200000E+00   0.1645200000E+01
    19      0      0     19   1  -0.6277800000E+00   0.1642200000E+01
     0      1      0     20   1   0.6294600000E+00   0.1642720000E+01
     1      1      0     21   1   0.6290800000E+00   0.1642220000E+01
     2      1      0     22   1   0.6312200000E+00   0.1649480000E+01
     3      1      0     23   1   0.6313000000E+00   0.1650320000E+01
     4      1      0     24   1   0.6323800000E+00   0.1645240000E+01
     5      1      0     25   1   0.6270000000E+00   0.1647720000E+01
     6      1      0     26   1   0.6315200000E+00   0.1644060000E+01
     7      1      0     27   1   0.6269200000E+00   0.1641380000E+01
     8      1      0     28   1   0.6283400000E+00   0.1642340000E+01
     9      1      0     29   1   0.6311800000E+00   0.1649780000E+01
    10      1      0     30   1   0.6256600000E+00   0.1640640000E+01
    11      1      0     31   1   0.6247000000E+00   0.1637080000E+01
    12      1      0     32   1   0.6251800000E+00   0.1632760000E+01
    13      1      0     33   1   0.6302600000E+00   0.1642500000E+01
    14      1      0     34   1   0.6262200000E+00   0.1644740000E+01
    15      1      0     35   1   0.6265800000E+00   0.1639760000E+01
    16      1      0     36   1   0.6264600000E+00   0.1639020000E+01
    17      1      0     37   1   0.6273000000E+00   0.1636000000E+01
    18      1      0     38   1   0.6302000000E+00   0.1645120000E+01
    19      1      0     39   1   0.6304400000E+00   0.1648020000E+01
     0      2      0     40   1  -0.6286600000E+00   0.1645380000E+01
