 program J1J2_6          
 linear system size                56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9071
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed            2
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8680536274538415E+00   6.2631691207580614E-03   6.1048489126666539E-01   4.5510099258862530E-03
   8.0555555555555554E+00  -3.8340279216376265E+00   6.4762746237507071E-03   6.1470959822596294E-01   5.0114298278954384E-03
   8.1111111111111107E+00  -3.7998053533319824E+00   6.7406284010774146E-03   6.1658866374089794E-01   4.6013453726587066E-03
   8.1666666666666661E+00  -3.7654706017242265E+00   6.9735807650495299E-03   6.1944928374188235E-01   3.9091842408231969E-03
   8.2222222222222214E+00  -3.7310494134157235E+00   7.2085024449953109E-03   6.2111338231739754E-01   5.5508248827252716E-03
   8.2777777777777786E+00  -3.6964643408518114E+00   7.4640277591246735E-03   6.2297615075917689E-01   3.4206958506056762E-03
   8.3333333333333339E+00  -3.6617076734217204E+00   7.7326522859311794E-03   6.2486108285716990E-01   7.6853180541821015E-03
   8.3888888888888893E+00  -3.6269111543824470E+00   8.0107808297235836E-03   6.2705966304385252E-01   5.2538047801873339E-03
   8.4444444444444446E+00  -3.5919721058412875E+00   8.3123449063644290E-03   6.2959794103260913E-01   5.4195380921255110E-03
   8.5000000000000000E+00  -3.5568877239509264E+00   8.5960901732520852E-03   6.3061699731193666E-01   5.3441962729600659E-03
   8.5555555555555554E+00  -3.5217895900667027E+00   8.8959212361150782E-03   6.3409576682234414E-01   5.9260376352576003E-03
   8.6111111111111107E+00  -3.4866340076076687E+00   9.1716972706574838E-03   6.3421324928912359E-01   5.3390112636425794E-03
   8.6666666666666661E+00  -3.4514132419465229E+00   9.4663272795976004E-03   6.3518773222057545E-01   6.2272226005361028E-03
   8.7222222222222214E+00  -3.4161739994964062E+00   9.7436751019654346E-03   6.3445481374554369E-01   5.1228856585262923E-03
   8.7777777777777786E+00  -3.3809398001733717E+00   1.0007379304404587E-02   6.3550901613888233E-01   4.9394805948813928E-03
   8.8333333333333339E+00  -3.3456942188982621E+00   1.0260967428420401E-02   6.3553093086646917E-01   4.4729993965211485E-03
   8.8888888888888893E+00  -3.3104498635684108E+00   1.0483469475714357E-02   6.3585755487134454E-01   4.1924955310150827E-03
   8.9444444444444446E+00  -3.2752414244405186E+00   1.0724245349735474E-02   6.3604717913455455E-01   4.3656355226886689E-03
   9.0000000000000000E+00  -3.2400087819548666E+00   1.0940563121736135E-02   6.3383634926291654E-01   3.9719507373105929E-03
   9.0555555555555554E+00  -3.2047706037815997E+00   1.1173290484276264E-02   6.3348077310518525E-01   3.9419568137712951E-03
   9.1111111111111107E+00  -3.1696577972676856E+00   1.1376911571288459E-02   6.3183110136927767E-01   3.0229541312591446E-03
   9.1666666666666661E+00  -3.1345717894280205E+00   1.1540258711040603E-02   6.2860397063279527E-01   2.9639603952749836E-03
   9.2222222222222214E+00  -3.0996785093700492E+00   1.1698389197376993E-02   6.2622020499417719E-01   2.7306772454714651E-03
   9.2777777777777786E+00  -3.0648343740011814E+00   1.1856637510311987E-02   6.2423077904514068E-01   2.1295634883336436E-03
   9.3333333333333339E+00  -3.0302839441129219E+00   1.1900630698225867E-02   6.2139601133472400E-01   1.3351298453275642E-03
   9.3888888888888893E+00  -2.9959086797599177E+00   1.2002905414148354E-02   6.1624933638705159E-01   1.4305261159051497E-03
   9.4444444444444446E+00  -2.9616528254910897E+00   1.2023510869588824E-02   6.1357002085673007E-01   1.2563590942898748E-03
   9.5000000000000000E+00  -2.9276068595112150E+00   1.2035609484241289E-02   6.1072555504923653E-01   1.8358849116171922E-04
   9.5555555555555554E+00  -2.8937651736888323E+00   1.2011325536027377E-02   6.0697682018265797E-01   7.3593413559892287E-04
   9.6111111111111107E+00  -2.8601465071529724E+00   1.2029154930378113E-02   6.0096158379744102E-01   1.2172961726499614E-04
   9.6666666666666661E+00  -2.8267916672300997E+00   1.1994363094799242E-02   5.9812931430058736E-01   1.7390372973335678E-03
   9.7222222222222214E+00  -2.7936593362409874E+00   1.1929381657894523E-02   5.9341494325235988E-01   1.7728871908855848E-03
   9.7777777777777786E+00  -2.7608173922005372E+00   1.1802498301336728E-02   5.9002473971277447E-01   1.4164315413745009E-03
   9.8333333333333339E+00  -2.7281773514220209E+00   1.1724307055610349E-02   5.8505074798051349E-01   2.2957448610885960E-03
   9.8888888888888893E+00  -2.6958447365399980E+00   1.1621213007716206E-02   5.8091011411189242E-01   3.3440200666488623E-03
   9.9444444444444446E+00  -2.6637388583409871E+00   1.1476262636321878E-02   5.7438201475470363E-01   3.3462015950782215E-03
   1.0000000000000000E+01  -2.6319031156102755E+00   1.1363626961011732E-02   5.7115835181075703E-01   3.4750357603227588E-03
   1.0055555555555555E+01  -2.6003599353278899E+00   1.1137955592427551E-02   5.6484894055847135E-01   3.3638892491153916E-03
   1.0111111111111111E+01  -2.5690841286132917E+00   1.0980066536580173E-02   5.5947581156442816E-01   4.0655954013932146E-03
   1.0166666666666666E+01  -2.5381547592029481E+00   1.0730602881160251E-02   5.5340315756751490E-01   4.6761523654552974E-03
   1.0222222222222221E+01  -2.5075933579869840E+00   1.0474783377222706E-02   5.4848401537488134E-01   4.4076478933278108E-03
   1.0277777777777779E+01  -2.4773689235617802E+00   1.0230922152557997E-02   5.4191306972683551E-01   4.5961678961451060E-03
   1.0333333333333334E+01  -2.4474408949530875E+00   9.9675178252330143E-03   5.3468940999748027E-01   4.8125008877061620E-03
   1.0388888888888889E+01  -2.4178813487856612E+00   9.7241011947130866E-03   5.2723845728476815E-01   5.1626629184801870E-03
   1.0444444444444445E+01  -2.3887479114410857E+00   9.4618763656023775E-03   5.2068944682283314E-01   3.7236909282612660E-03
   1.0500000000000000E+01  -2.3600226661044248E+00   9.2449321560893992E-03   5.1428658668363714E-01   3.9646760171172290E-03
   1.0555555555555555E+01  -2.3316857898734762E+00   8.9712257712667044E-03   5.0606567280066184E-01   4.3731746954113245E-03
   1.0611111111111111E+01  -2.3036657466811712E+00   8.7432239399658634E-03   5.0199163379072032E-01   4.1174804149381253E-03
   1.0666666666666666E+01  -2.2761379296202469E+00   8.5027057054419264E-03   4.9302583346299111E-01   4.5323738003541026E-03
   1.0722222222222221E+01  -2.2488936080675650E+00   8.2597683334968454E-03   4.8491938899286080E-01   4.2773415582344652E-03
   1.0777777777777779E+01  -2.2221486996898330E+00   8.0423148181182260E-03   4.7868104731891348E-01   4.6434059772137480E-03
   1.0833333333333334E+01  -2.1957793929132685E+00   7.8063948580850964E-03   4.6925233031492775E-01   2.9858200247384944E-03
   1.0888888888888889E+01  -2.1698654061105360E+00   7.5962993629746667E-03   4.6315222446732401E-01   4.8653995838780660E-03
   1.0944444444444445E+01  -2.1443585730999901E+00   7.3612872277357567E-03   4.5583991446227490E-01   3.7460802026842402E-03
   1.1000000000000000E+01  -2.1192913845739310E+00   7.1330695043368159E-03   4.4737335640972509E-01   3.3808369780428150E-03
   1.1055555555555555E+01  -2.0946875588226668E+00   6.9176983174074570E-03   4.3850920823087824E-01   3.9902849200411051E-03
   1.1111111111111111E+01  -2.0705412979345486E+00   6.6710697733202351E-03   4.3091881695364981E-01   3.7454944312294712E-03
   1.1166666666666666E+01  -2.0468342975294416E+00   6.4643710764154955E-03   4.2259827039365516E-01   3.9880801138343410E-03
