 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 0.126623E+00 0.161467E-01 0.268016E-03 0.657333E+00
   1 0.805556E+01 0.125985E+00 0.159861E-01 0.262820E-03 0.657192E+00
   1 0.811111E+01 0.125356E+00 0.158283E-01 0.257735E-03 0.657086E+00
   1 0.816667E+01 0.124628E+00 0.156468E-01 0.251962E-03 0.656944E+00
   1 0.822222E+01 0.123910E+00 0.154687E-01 0.246374E-03 0.656786E+00
   1 0.827778E+01 0.123139E+00 0.152784E-01 0.240440E-03 0.656656E+00
   1 0.833333E+01 0.122320E+00 0.150780E-01 0.234307E-03 0.656461E+00
   1 0.838889E+01 0.121491E+00 0.148765E-01 0.228216E-03 0.656265E+00
   1 0.844444E+01 0.120653E+00 0.146732E-01 0.222084E-03 0.656170E+00
   1 0.850000E+01 0.119757E+00 0.144582E-01 0.215744E-03 0.655975E+00
   1 0.855556E+01 0.118828E+00 0.142366E-01 0.209288E-03 0.655802E+00
   1 0.861111E+01 0.117896E+00 0.140167E-01 0.203010E-03 0.655568E+00
   1 0.866667E+01 0.116985E+00 0.138033E-01 0.197011E-03 0.655331E+00
   1 0.872222E+01 0.116000E+00 0.135740E-01 0.190631E-03 0.655129E+00
   1 0.877778E+01 0.115031E+00 0.133502E-01 0.184499E-03 0.654935E+00
   1 0.883333E+01 0.114015E+00 0.131175E-01 0.178233E-03 0.654725E+00
   1 0.888889E+01 0.112964E+00 0.128790E-01 0.171932E-03 0.654481E+00
   1 0.894444E+01 0.111933E+00 0.126478E-01 0.165948E-03 0.654200E+00
   1 0.900000E+01 0.110878E+00 0.124119E-01 0.159884E-03 0.654055E+00
   1 0.905556E+01 0.109743E+00 0.121619E-01 0.153641E-03 0.653755E+00
   1 0.911111E+01 0.108683E+00 0.119301E-01 0.147930E-03 0.653544E+00
   1 0.916667E+01 0.107553E+00 0.116868E-01 0.142123E-03 0.653138E+00
   1 0.922222E+01 0.106375E+00 0.114336E-01 0.136098E-03 0.652975E+00
   1 0.927778E+01 0.105178E+00 0.111805E-01 0.130260E-03 0.652650E+00
   1 0.933333E+01 0.104004E+00 0.109348E-01 0.124703E-03 0.652358E+00
   1 0.938889E+01 0.102799E+00 0.106855E-01 0.119196E-03 0.652024E+00
   1 0.944444E+01 0.101619E+00 0.104443E-01 0.113986E-03 0.651688E+00
   1 0.950000E+01 0.100450E+00 0.102079E-01 0.108985E-03 0.651364E+00
   1 0.955556E+01 0.992417E-01 0.996648E-02 0.103990E-03 0.651031E+00
   1 0.961111E+01 0.981043E-01 0.974154E-02 0.994323E-04 0.650738E+00
   1 0.966667E+01 0.969702E-01 0.952030E-02 0.950675E-04 0.650370E+00
   1 0.972222E+01 0.958306E-01 0.930044E-02 0.908206E-04 0.650010E+00
   1 0.977778E+01 0.946945E-01 0.908399E-02 0.867429E-04 0.649604E+00
   1 0.983333E+01 0.935694E-01 0.887133E-02 0.827959E-04 0.649321E+00
   1 0.988889E+01 0.924384E-01 0.866103E-02 0.790083E-04 0.648915E+00
   1 0.994444E+01 0.913499E-01 0.846108E-02 0.754988E-04 0.648466E+00
   1 0.100000E+02 0.902120E-01 0.825410E-02 0.719292E-04 0.648080E+00
   1 0.100556E+02 0.891309E-01 0.805990E-02 0.686623E-04 0.647680E+00
   1 0.101111E+02 0.880081E-01 0.786066E-02 0.653881E-04 0.647256E+00
   1 0.101667E+02 0.869186E-01 0.766917E-02 0.622990E-04 0.646927E+00
   1 0.102222E+02 0.857763E-01 0.747184E-02 0.592185E-04 0.646425E+00
   1 0.102778E+02 0.846983E-01 0.728791E-02 0.564128E-04 0.645961E+00
   1 0.103333E+02 0.835880E-01 0.710036E-02 0.536087E-04 0.645551E+00
   1 0.103889E+02 0.825312E-01 0.692485E-02 0.510685E-04 0.645014E+00
   1 0.104444E+02 0.813984E-01 0.673886E-02 0.484369E-04 0.644465E+00
   1 0.105000E+02 0.802786E-01 0.655725E-02 0.459270E-04 0.643956E+00
   1 0.105556E+02 0.791959E-01 0.638369E-02 0.435784E-04 0.643544E+00
   1 0.106111E+02 0.781341E-01 0.621664E-02 0.413994E-04 0.642923E+00
   1 0.106667E+02 0.770941E-01 0.605446E-02 0.393167E-04 0.642476E+00
   1 0.107222E+02 0.760439E-01 0.589283E-02 0.372968E-04 0.641984E+00
   1 0.107778E+02 0.750099E-01 0.573625E-02 0.354005E-04 0.641382E+00
   1 0.108333E+02 0.740301E-01 0.558965E-02 0.336605E-04 0.640887E+00
   1 0.108889E+02 0.730109E-01 0.543951E-02 0.319365E-04 0.640212E+00
   1 0.109444E+02 0.720258E-01 0.529552E-02 0.303010E-04 0.639821E+00
   1 0.110000E+02 0.710542E-01 0.515604E-02 0.287735E-04 0.639223E+00
   1 0.110556E+02 0.700855E-01 0.501825E-02 0.272925E-04 0.638743E+00
   1 0.111111E+02 0.691280E-01 0.488441E-02 0.259024E-04 0.638094E+00
   1 0.111667E+02 0.681599E-01 0.475098E-02 0.245495E-04 0.637461E+00
   1 0.112222E+02 0.672250E-01 0.462371E-02 0.232892E-04 0.636879E+00
   1 0.112778E+02 0.663229E-01 0.450200E-02 0.221073E-04 0.636416E+00
   1 0.113333E+02 0.654359E-01 0.438459E-02 0.210064E-04 0.635773E+00
   1 0.113889E+02 0.646087E-01 0.427627E-02 0.200086E-04 0.635275E+00
   1 0.114444E+02 0.637748E-01 0.416789E-02 0.190291E-04 0.634855E+00
   1 0.115000E+02 0.629240E-01 0.405934E-02 0.180809E-04 0.634246E+00
   2 0.800000E+01 -.261712E+00 0.686089E-01 0.473897E-02 0.664416E+00
   2 0.805556E+01 -.259944E+00 0.676874E-01 0.461305E-02 0.664377E+00
   2 0.811111E+01 -.258240E+00 0.668042E-01 0.449391E-02 0.664344E+00
   2 0.816667E+01 -.256472E+00 0.658952E-01 0.437303E-02 0.664298E+00
