# Temperature =   0.8000000000000000E+01
# disorder configuration = 1
# stripe magnitudes =   0.7244071999999985E-01   0.5325544799999923E+00
# expected mean locnem =   0.1113466465015775E+01
# measured mean locnem =   0.1328525360000000E+01
# ix iy iz isite occu <s(isite)> <locnem(isite)>
     0      0      0      0   1   0.6100000000E-02   0.8104800000E+00
     1      0      0      1   1   0.3220000000E-02   0.1720640000E+01
     2      0      0      2   1   0.2440000000E-02   0.1149420000E+01
     3      0      0      3   1   0.1044000000E-01   0.2044640000E+01
     4      0      0      4   1   0.1624000000E-01   0.2888180000E+01
     5      0      0      5   1   0.1598000000E-01   0.3366400000E+01
     6      0      0      6   1   0.1760000000E-01   0.3578240000E+01
     7      0      0      7   1   0.1558000000E-01   0.3294140000E+01
     8      0      0      8   1   0.1234000000E-01   0.2356820000E+01
     9      0      0      9   1   0.1284000000E-01   0.1283220000E+01
     0      1      0     10   1  -0.7320000000E-02   0.1034260000E+01
     1      1      0     11   1  -0.8420000000E-02   0.1553540000E+01
     2      1      0     12   1  -0.1340000000E-01   0.2307900000E+01
     3      1      0     13   1  -0.1298000000E-01   0.2952580000E+01
     4      1      0     14   1  -0.1622000000E-01   0.3555840000E+01
     5      1      0     15   1  -0.1746000000E-01   0.3737420000E+01
     6      1      0     16   1  -0.1742000000E-01   0.3721260000E+01
     7      1      0     17   1  -0.1586000000E-01   0.3511740000E+01
     8      1      0     18   1  -0.1694000000E-01   0.3195740000E+01
     9      1      0     19   1  -0.1202000000E-01   0.2342680000E+01
     0      2      0     20   1   0.9760000000E-02   0.1265360000E+01
     1      2      0     21   1   0.6200000000E-02   0.8166400000E+00
     2      2      0     22   1   0.9260000000E-02   0.1427760000E+01
     3      2      0     23   1   0.1168000000E-01   0.2317460000E+01
     4      2      0     24   1   0.1596000000E-01   0.3185060000E+01
     5      2      0     25   1   0.1608000000E-01   0.3469960000E+01
     6      2      0     26   1   0.1626000000E-01   0.3215900000E+01
     7      2      0     27   1   0.1496000000E-01   0.2895940000E+01
     8      2      0     28   1   0.1664000000E-01   0.3231700000E+01
     9      2      0     29   1   0.1550000000E-01   0.2905140000E+01
     0      3      0     30   1  -0.2940000000E-02   0.2530600000E+00
     1      3      0     31   1  -0.1204000000E-01  -0.5358400000E+00
     2      3      0     32   1  -0.3000000000E-02  -0.9900000000E+00
     3      3      0     33   1  -0.6100000000E-02  -0.9012000000E-01
     4      3      0     34   1  -0.1296000000E-01   0.1447940000E+01
     5      3      0     35   1  -0.1712000000E-01   0.1673080000E+01
     6      3      0     36   1  -0.1184000000E-01   0.1256600000E+01
     7      3      0     37   1  -0.8980000000E-02   0.8238800000E+00
     8      3      0     38   1  -0.1430000000E-01   0.2321500000E+01
     9      3      0     39   1  -0.1520000000E-01   0.2324120000E+01
     0      4      0     40   1   0.3180000000E-02  -0.1232340000E+01
     1      4      0     41   1  -0.2700000000E-02  -0.1947840000E+01
     2      4      0     42   1   0.4160000000E-02  -0.1409540000E+01
     3      4      0     43   1  -0.1600000000E-02  -0.1071300000E+01
     4      4      0     44   1   0.7600000000E-02  -0.6924800000E+00
     5      4      0     45   1   0.1000000000E-02  -0.8480200000E+00
     6      4      0     46   1   0.8240000000E-02   0.1677600000E+00
     7      4      0     47   1   0.4460000000E-02   0.9207000000E+00
     8      4      0     48   1   0.9960000000E-02   0.2235940000E+01
     9      4      0     49   1   0.1438000000E-01   0.2020000000E+01
     0      5      0     50   1   0.1440000000E-02  -0.2108720000E+01
     1      5      0     51   1  -0.4700000000E-02  -0.2697220000E+01
     2      5      0     52   1   0.3440000000E-02  -0.1873860000E+01
     3      5      0     53   1  -0.4320000000E-02  -0.1991160000E+01
     4      5      0     54   1   0.5680000000E-02  -0.1789900000E+01
     5      5      0     55   1  -0.6060000000E-02  -0.1332640000E+01
     6      5      0     56   1   0.1300000000E-02   0.1737600000E+00
     7      5      0     57   1  -0.6120000000E-02   0.1967740000E+01
     8      5      0     58   1  -0.1084000000E-01   0.2772840000E+01
     9      5      0     59   1  -0.8580000000E-02   0.1773620000E+01
     0      6      0     60   1   0.2820000000E-02  -0.2467540000E+01
     1      6      0     61   1  -0.3000000000E-02  -0.3249260000E+01
     2      6      0     62   1   0.3480000000E-02  -0.2758960000E+01
     3      6      0     63   1  -0.2800000000E-02  -0.2684960000E+01
     4      6      0     64   1   0.4440000000E-02  -0.2081040000E+01
     5      6      0     65   1   0.5300000000E-02  -0.1585200000E+00
     6      6      0     66   1   0.1490000000E-01   0.1521700000E+01
     7      6      0     67   1   0.1274000000E-01   0.2672540000E+01
     8      6      0     68   1   0.1278000000E-01   0.2570160000E+01
     9      6      0     69   1   0.5760000000E-02   0.9193000000E+00
