 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9055
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.872222E+01 0.316419E+00 0.100424E+00 0.102031E-01 0.588570E-01 0.988288E+00 0.584316E+01 0.988639E+00 0.210689E-02 0.253337E-02 0.107468E+01 0.281650E+00 0.796402E-01 0.643941E-02 0.665201E+00 0.494085E-03 0.135769E+00 0.207836E-01 0.580080E-03 0.578597E+00 0.140996E-01 0.379156E-01 0.283290E-02 0.608004E+00 0.111753E+00
 0.877778E+01 0.307997E+00 0.951810E-01 0.917707E-02 0.588079E-01 0.987014E+00 0.587676E+01 0.987754E+00 0.300754E-02 0.356052E-02 0.138680E+01 0.276925E+00 0.769941E-01 0.601966E-02 0.665140E+00 0.490976E-03 0.125688E+00 0.181869E-01 0.462822E-03 0.563003E+00 0.726267E-02 0.345419E-01 0.217786E-02 0.566481E+00 0.101402E+00
 0.883333E+01 0.299744E+00 0.901787E-01 0.824813E-02 0.585940E-01 0.985744E+00 0.575696E+01 0.987100E+00 0.367496E-02 0.460432E-02 0.153653E+01 0.272192E+00 0.743861E-01 0.561925E-02 0.665110E+00 0.474925E-03 0.115768E+00 0.157926E-01 0.364556E-03 0.544604E+00 0.174012E-02 0.313090E-01 0.148394E-02 0.521529E+00 0.872957E-01
 0.888889E+01 0.291767E+00 0.854653E-01 0.741612E-02 0.580519E-01 0.984694E+00 0.548793E+01 0.986773E+00 0.408637E-02 0.545369E-02 0.155292E+01 0.267329E+00 0.717583E-01 0.523092E-02 0.665035E+00 0.481909E-03 0.106585E+00 0.137070E-01 0.287489E-03 0.524134E+00 0.109755E-01 0.283383E-01 0.961179E-03 0.477367E+00 0.748059E-01
 0.894444E+01 0.284242E+00 0.811345E-01 0.669037E-02 0.571705E-01 0.983661E+00 0.516772E+01 0.986638E+00 0.431733E-02 0.624598E-02 0.149540E+01 0.262420E+00 0.691522E-01 0.485933E-02 0.664952E+00 0.482338E-03 0.985674E-01 0.119824E-01 0.228949E-03 0.502561E+00 0.222488E-01 0.257585E-01 0.427903E-03 0.437569E+00 0.602510E-01
 0.900000E+01 0.276764E+00 0.769419E-01 0.602314E-02 0.561748E-01 0.982587E+00 0.481747E+01 0.986642E+00 0.429074E-02 0.695827E-02 0.134392E+01 0.257442E+00 0.665579E-01 0.450264E-02 0.664875E+00 0.473352E-03 0.906860E-01 0.103840E-01 0.180327E-03 0.474977E+00 0.363525E-01 0.232829E-01 0.542197E-04 0.396410E+00 0.451592E-01
 0.905556E+01 0.269641E+00 0.730449E-01 0.543222E-02 0.548445E-01 0.981883E+00 0.447370E+01 0.986769E+00 0.417800E-02 0.734764E-02 0.119703E+01 0.252325E+00 0.639444E-01 0.415756E-02 0.664776E+00 0.474166E-03 0.838981E-01 0.910050E-02 0.144846E-03 0.448394E+00 0.468212E-01 0.211288E-01 0.275122E-03 0.361692E+00 0.364625E-01
 0.911111E+01 0.262638E+00 0.693080E-01 0.489292E-02 0.534185E-01 0.981408E+00 0.410761E+01 0.987084E+00 0.393941E-02 0.761883E-02 0.103466E+01 0.247166E+00 0.613628E-01 0.383003E-02 0.664654E+00 0.494038E-03 0.774774E-01 0.794530E-02 0.115393E-03 0.419874E+00 0.562449E-01 0.191257E-01 0.416958E-03 0.328486E+00 0.293451E-01
 0.916667E+01 0.255865E+00 0.657914E-01 0.441199E-02 0.518400E-01 0.980715E+00 0.383779E+01 0.987231E+00 0.372483E-02 0.787231E-02 0.902630E+00 0.241960E+00 0.588148E-01 0.352049E-02 0.664515E+00 0.528228E-03 0.719958E-01 0.697659E-02 0.921485E-04 0.394434E+00 0.645011E-01 0.174087E-01 0.523531E-03 0.301051E+00 0.236135E-01
 0.922222E+01 0.249287E+00 0.624632E-01 0.397947E-02 0.501151E-01 0.980055E+00 0.364679E+01 0.987238E+00 0.352449E-02 0.799296E-02 0.797567E+00 0.236677E+00 0.562864E-01 0.322622E-02 0.664335E+00 0.571210E-03 0.672082E-01 0.617680E-02 0.746115E-04 0.369928E+00 0.705640E-01 0.159032E-01 0.571837E-03 0.278028E+00 0.195821E-01
