 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.818421E+01    8 -.841887E+01 0.000000E+00
 0.818421E+01    9 -.831759E+01 0.000000E+00
 0.818421E+01   10 -.821631E+01 0.000000E+00
 0.818421E+01   11 -.811504E+01 0.000000E+00
 0.818421E+01   12 -.801376E+01 0.000000E+00
 0.818421E+01   13 -.791248E+01 0.000000E+00
 0.818421E+01   14 -.781120E+01 0.000000E+00
 0.818421E+01   15 -.770992E+01 0.000000E+00
 0.818421E+01   16 -.760865E+01 0.000000E+00
 0.818421E+01   17 -.750737E+01 0.000000E+00
 0.818421E+01   18 -.740609E+01 0.000000E+00
 0.818421E+01   19 -.730481E+01 0.000000E+00
 0.818421E+01   20 -.720353E+01 0.000000E+00
 0.818421E+01   21 -.710225E+01 0.000000E+00
 0.818421E+01   22 -.700098E+01 0.000000E+00
 0.818421E+01   23 -.689970E+01 0.000000E+00
 0.818421E+01   24 -.679842E+01 0.000000E+00
 0.818421E+01   25 -.669714E+01 0.000000E+00
 0.818421E+01   26 -.659586E+01 0.000000E+00
 0.818421E+01   27 -.649459E+01 0.000000E+00
 0.818421E+01   28 -.639331E+01 0.000000E+00
 0.818421E+01   29 -.629203E+01 0.000000E+00
 0.818421E+01   30 -.619075E+01 0.000000E+00
 0.818421E+01   31 -.608947E+01 0.000000E+00
 0.818421E+01   32 -.598819E+01 0.000000E+00
 0.818421E+01   33 -.588692E+01 0.000000E+00
 0.818421E+01   34 -.578564E+01 0.000000E+00
 0.818421E+01   35 -.568436E+01 0.000000E+00
 0.818421E+01   36 -.558308E+01 0.000000E+00
 0.818421E+01   37 -.548180E+01 0.000000E+00
 0.818421E+01   38 -.538053E+01 0.000000E+00
 0.818421E+01   39 -.527925E+01 0.000000E+00
