 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.818421E+01    8 -.841918E+01 0.000000E+00
 0.818421E+01    9 -.831790E+01 0.000000E+00
 0.818421E+01   10 -.821662E+01 0.000000E+00
 0.818421E+01   11 -.811534E+01 0.000000E+00
 0.818421E+01   12 -.801406E+01 0.000000E+00
 0.818421E+01   13 -.791278E+01 0.000000E+00
 0.818421E+01   14 -.781149E+01 0.000000E+00
 0.818421E+01   15 -.771021E+01 0.000000E+00
 0.818421E+01   16 -.760893E+01 0.000000E+00
 0.818421E+01   17 -.750765E+01 0.000000E+00
 0.818421E+01   18 -.740637E+01 0.000000E+00
 0.818421E+01   19 -.730509E+01 0.000000E+00
 0.818421E+01   20 -.720381E+01 0.000000E+00
 0.818421E+01   21 -.710252E+01 0.000000E+00
 0.818421E+01   22 -.700124E+01 0.000000E+00
 0.818421E+01   23 -.689996E+01 0.000000E+00
 0.818421E+01   24 -.679868E+01 0.000000E+00
 0.818421E+01   25 -.669740E+01 0.000000E+00
 0.818421E+01   26 -.659612E+01 0.000000E+00
 0.818421E+01   27 -.649483E+01 0.000000E+00
 0.818421E+01   28 -.639355E+01 0.000000E+00
 0.818421E+01   29 -.629227E+01 0.000000E+00
 0.818421E+01   30 -.619099E+01 0.000000E+00
 0.818421E+01   31 -.608971E+01 0.000000E+00
 0.818421E+01   32 -.598843E+01 0.000000E+00
 0.818421E+01   33 -.588715E+01 0.000000E+00
 0.818421E+01   34 -.578586E+01 0.000000E+00
 0.818421E+01   35 -.568458E+01 0.000000E+00
 0.818421E+01   36 -.558330E+01 0.000000E+00
 0.818421E+01   37 -.548202E+01 0.000000E+00
 0.818421E+01   38 -.538074E+01 0.000000E+00
 0.818421E+01   39 -.527946E+01 0.000000E+00
 0.818421E+01   40 -.517817E+01 0.000000E+00
 0.818421E+01   41 -.507689E+01 0.000000E+00
 0.818421E+01   42 -.497561E+01 0.000000E+00
 0.818421E+01   43 -.487433E+01 0.000000E+00
 0.818421E+01   44 -.477305E+01 0.000000E+00
 0.818421E+01   45 -.467177E+01 0.000000E+00
 0.818421E+01   46 -.457049E+01 0.000000E+00
 0.818421E+01   47 -.446920E+01 0.200000E-06
 0.818421E+01   48 -.436792E+01 0.761600E-03
 0.818421E+01   49 -.426664E+01 0.732957E-01
 0.818421E+01   50 -.416536E+01 0.436881E+00
 0.818421E+01   51 -.406408E+01 0.426931E+00
 0.818421E+01   52 -.396280E+01 0.612176E-01
 0.818421E+01   53 -.386151E+01 0.911100E-03
 0.818421E+01   54 -.376023E+01 0.120000E-05
 0.818421E+01   55 -.365895E+01 0.000000E+00
 0.818421E+01   56 -.355767E+01 0.000000E+00
 0.818421E+01   57 -.345639E+01 0.000000E+00
 0.818421E+01   58 -.335511E+01 0.000000E+00
 0.818421E+01   59 -.325382E+01 0.000000E+00
 0.818421E+01   60 -.315254E+01 0.000000E+00
 0.818421E+01   61 -.305126E+01 0.000000E+00
 0.818421E+01   62 -.294998E+01 0.000000E+00
 0.818421E+01   63 -.284870E+01 0.000000E+00
 0.818421E+01   64 -.274742E+01 0.000000E+00
 0.818421E+01   65 -.264614E+01 0.000000E+00
 0.818421E+01   66 -.254485E+01 0.000000E+00
 0.818421E+01   67 -.244357E+01 0.000000E+00
 0.818421E+01   68 -.234229E+01 0.000000E+00
 0.818421E+01   69 -.224101E+01 0.000000E+00
 0.818421E+01   70 -.213973E+01 0.000000E+00
 0.818421E+01   71 -.203845E+01 0.000000E+00
 0.818421E+01   72 -.193716E+01 0.000000E+00
 0.818421E+01   73 -.183588E+01 0.000000E+00
 0.818421E+01   74 -.173460E+01 0.000000E+00
 0.818421E+01   75 -.163332E+01 0.000000E+00
 0.818421E+01   76 -.153204E+01 0.000000E+00
 0.818421E+01   77 -.143076E+01 0.000000E+00
 0.818421E+01   78 -.132948E+01 0.000000E+00
 0.818421E+01   79 -.122819E+01 0.000000E+00
 0.818421E+01   80 -.112691E+01 0.000000E+00
 0.818421E+01   81 -.102563E+01 0.000000E+00
 0.818421E+01   82 -.924349E+00 0.000000E+00
 0.818421E+01   83 -.823068E+00 0.000000E+00
 0.818421E+01   84 -.721786E+00 0.000000E+00
 0.818421E+01   85 -.620505E+00 0.000000E+00
 0.818421E+01   86 -.519223E+00 0.000000E+00
 0.818421E+01   87 -.417942E+00 0.000000E+00
 0.818421E+01   88 -.316660E+00 0.000000E+00
 0.818421E+01   89 -.215379E+00 0.000000E+00
 0.818421E+01   90 -.114097E+00 0.000000E+00
 0.818421E+01   91 -.128155E-01 0.000000E+00
 0.818421E+01   92 0.884661E-01 0.000000E+00
 0.818421E+01   93 0.189748E+00 0.000000E+00
 0.818421E+01   94 0.291029E+00 0.000000E+00
 0.818421E+01   95 0.392311E+00 0.000000E+00
 0.818421E+01   96 0.493592E+00 0.000000E+00
 0.818421E+01   97 0.594874E+00 0.000000E+00
 0.818421E+01   98 0.696155E+00 0.000000E+00
 0.818421E+01   99 0.797437E+00 0.000000E+00
 0.836842E+01    1 -.883905E+01 0.000000E+00
 0.836842E+01    2 -.874066E+01 0.000000E+00
 0.836842E+01    3 -.864227E+01 0.000000E+00
 0.836842E+01    4 -.854388E+01 0.000000E+00
 0.836842E+01    5 -.844549E+01 0.000000E+00
 0.836842E+01    6 -.834710E+01 0.000000E+00
 0.836842E+01    7 -.824871E+01 0.000000E+00
 0.836842E+01    8 -.815032E+01 0.000000E+00
 0.836842E+01    9 -.805193E+01 0.000000E+00
 0.836842E+01   10 -.795354E+01 0.000000E+00
 0.836842E+01   11 -.785515E+01 0.000000E+00
 0.836842E+01   12 -.775676E+01 0.000000E+00
 0.836842E+01   13 -.765837E+01 0.000000E+00
 0.836842E+01   14 -.755998E+01 0.000000E+00
 0.836842E+01   15 -.746159E+01 0.000000E+00
 0.836842E+01   16 -.736320E+01 0.000000E+00
 0.836842E+01   17 -.726481E+01 0.000000E+00
 0.836842E+01   18 -.716642E+01 0.000000E+00
 0.836842E+01   19 -.706802E+01 0.000000E+00
 0.836842E+01   20 -.696963E+01 0.000000E+00
 0.836842E+01   21 -.687124E+01 0.000000E+00
 0.836842E+01   22 -.677285E+01 0.000000E+00
 0.836842E+01   23 -.667446E+01 0.000000E+00
 0.836842E+01   24 -.657607E+01 0.000000E+00
 0.836842E+01   25 -.647768E+01 0.000000E+00
 0.836842E+01   26 -.637929E+01 0.000000E+00
 0.836842E+01   27 -.628090E+01 0.000000E+00
 0.836842E+01   28 -.618251E+01 0.000000E+00
 0.836842E+01   29 -.608412E+01 0.000000E+00
 0.836842E+01   30 -.598573E+01 0.000000E+00
 0.836842E+01   31 -.588734E+01 0.000000E+00
 0.836842E+01   32 -.578895E+01 0.000000E+00
 0.836842E+01   33 -.569056E+01 0.000000E+00
 0.836842E+01   34 -.559217E+01 0.000000E+00
 0.836842E+01   35 -.549378E+01 0.000000E+00
 0.836842E+01   36 -.539539E+01 0.000000E+00
 0.836842E+01   37 -.529700E+01 0.000000E+00
 0.836842E+01   38 -.519860E+01 0.000000E+00
 0.836842E+01   39 -.510021E+01 0.000000E+00
 0.836842E+01   40 -.500182E+01 0.000000E+00
 0.836842E+01   41 -.490343E+01 0.000000E+00
 0.836842E+01   42 -.480504E+01 0.000000E+00
 0.836842E+01   43 -.470665E+01 0.000000E+00
 0.836842E+01   44 -.460826E+01 0.000000E+00
 0.836842E+01   45 -.450987E+01 0.000000E+00
 0.836842E+01   46 -.441148E+01 0.000000E+00
 0.836842E+01   47 -.431309E+01 0.620000E-05
 0.836842E+01   48 -.421470E+01 0.308420E-02
 0.836842E+01   49 -.411631E+01 0.804900E-01
 0.836842E+01   50 -.401792E+01 0.394325E+00
 0.836842E+01   51 -.391953E+01 0.442878E+00
 0.836842E+01   52 -.382114E+01 0.781189E-01
 0.836842E+01   53 -.372275E+01 0.109600E-02
