 iconf T
   5 0.800000E+01
 isweep, binderx, bindery
     167 0.629725E+00 0.665812E+00
     168 0.629912E+00 0.665817E+00
     169 0.629988E+00 0.665818E+00
     170 0.629930E+00 0.665819E+00
     171 0.630015E+00 0.665823E+00
     172 0.630117E+00 0.665827E+00
     173 0.630347E+00 0.665829E+00
     174 0.630405E+00 0.665833E+00
     175 0.630597E+00 0.665828E+00
     176 0.630400E+00 0.665833E+00
     177 0.630455E+00 0.665838E+00
     178 0.630393E+00 0.665797E+00
     179 0.629875E+00 0.665796E+00
     180 0.630038E+00 0.665785E+00
     181 0.629802E+00 0.665765E+00
     182 0.629448E+00 0.665759E+00
     183 0.629386E+00 0.665755E+00
     184 0.628502E+00 0.665760E+00
     185 0.627521E+00 0.665763E+00
     186 0.627249E+00 0.665766E+00
     187 0.626800E+00 0.665769E+00
     188 0.626733E+00 0.665774E+00
     189 0.626379E+00 0.665776E+00
     190 0.626603E+00 0.665781E+00
     191 0.626605E+00 0.665777E+00
     192 0.626707E+00 0.665780E+00
     193 0.626234E+00 0.665784E+00
     194 0.626216E+00 0.665789E+00
     195 0.626050E+00 0.665793E+00
     196 0.626191E+00 0.665797E+00
     197 0.626347E+00 0.665801E+00
     198 0.626338E+00 0.665796E+00
     199 0.626365E+00 0.665797E+00
     200 0.626473E+00 0.665788E+00
     201 0.626652E+00 0.665791E+00
     202 0.626864E+00 0.665792E+00
     203 0.626641E+00 0.665797E+00
     204 0.626476E+00 0.665800E+00
     205 0.626677E+00 0.665804E+00
     206 0.626707E+00 0.665808E+00
     207 0.626755E+00 0.665809E+00
     208 0.626630E+00 0.665811E+00
     209 0.626393E+00 0.665815E+00
     210 0.626369E+00 0.665810E+00
     211 0.626221E+00 0.665814E+00
     212 0.625823E+00 0.665817E+00
     213 0.625005E+00 0.665821E+00
     214 0.623596E+00 0.665818E+00
     215 0.622514E+00 0.665820E+00
     216 0.621127E+00 0.665824E+00
     217 0.619950E+00 0.665828E+00
     218 0.619288E+00 0.665832E+00
     219 0.618849E+00 0.665834E+00
     220 0.618045E+00 0.665829E+00
     221 0.617240E+00 0.665828E+00
     222 0.616334E+00 0.665832E+00
     223 0.615220E+00 0.665834E+00
     224 0.614553E+00 0.665836E+00
     225 0.614139E+00 0.665837E+00
     226 0.613061E+00 0.665834E+00
     227 0.612461E+00 0.665837E+00
     228 0.611686E+00 0.665833E+00
     229 0.610288E+00 0.665837E+00
     230 0.608998E+00 0.665838E+00
     231 0.607734E+00 0.665833E+00
     232 0.606296E+00 0.665837E+00
     233 0.604964E+00 0.665840E+00
     234 0.604058E+00 0.665843E+00
     235 0.603230E+00 0.665846E+00
     236 0.602690E+00 0.665849E+00
     237 0.602231E+00 0.665852E+00
     238 0.601838E+00 0.665854E+00
     239 0.601295E+00 0.665857E+00
     240 0.600223E+00 0.665859E+00
     241 0.599455E+00 0.665862E+00
     242 0.598436E+00 0.665861E+00
     243 0.597620E+00 0.665864E+00
     244 0.596621E+00 0.665863E+00
     245 0.595029E+00 0.665855E+00
     246 0.593377E+00 0.665858E+00
     247 0.591821E+00 0.665858E+00
     248 0.590224E+00 0.665861E+00
     249 0.588602E+00 0.665864E+00
     250 0.587006E+00 0.665868E+00
     251 0.585862E+00 0.665869E+00
     252 0.584227E+00 0.665873E+00
     253 0.582587E+00 0.665875E+00
     254 0.580958E+00 0.665877E+00
     255 0.579318E+00 0.665874E+00
     256 0.577686E+00 0.665876E+00
     257 0.576117E+00 0.665879E+00
     258 0.574470E+00 0.665875E+00
     259 0.572860E+00 0.665877E+00
     260 0.571222E+00 0.665877E+00
     261 0.569693E+00 0.665879E+00
     262 0.568103E+00 0.665876E+00
     263 0.566460E+00 0.665872E+00
     264 0.564821E+00 0.665875E+00
     265 0.563174E+00 0.665877E+00
     266 0.561609E+00 0.665877E+00
     267 0.560061E+00 0.665869E+00
     268 0.559044E+00 0.665867E+00
     269 0.558611E+00 0.665869E+00
     270 0.557336E+00 0.665871E+00
     271 0.557451E+00 0.665866E+00
     272 0.557789E+00 0.665868E+00
     273 0.558184E+00 0.665864E+00
     274 0.558704E+00 0.665867E+00
     275 0.559199E+00 0.665870E+00
     276 0.559691E+00 0.665872E+00
     277 0.560129E+00 0.665868E+00
     278 0.560555E+00 0.665866E+00
     279 0.560868E+00 0.665867E+00
     280 0.561338E+00 0.665870E+00
     281 0.561821E+00 0.665868E+00
     282 0.562266E+00 0.665870E+00
     283 0.561901E+00 0.665872E+00
     284 0.561693E+00 0.665868E+00
     285 0.561869E+00 0.665871E+00
     286 0.558836E+00 0.665869E+00
     287 0.557581E+00 0.665872E+00
     288 0.556423E+00 0.665871E+00
     289 0.556695E+00 0.665871E+00
     290 0.556514E+00 0.665872E+00
     291 0.555648E+00 0.665875E+00
     292 0.556134E+00 0.665872E+00
     293 0.556615E+00 0.665873E+00
     294 0.557107E+00 0.665876E+00
     295 0.557382E+00 0.665878E+00
     296 0.557573E+00 0.665879E+00
     297 0.557950E+00 0.665881E+00
     298 0.558415E+00 0.665884E+00
     299 0.558638E+00 0.665886E+00
     300 0.558798E+00 0.665884E+00
     301 0.559178E+00 0.665887E+00
     302 0.559630E+00 0.665885E+00
     303 0.559755E+00 0.665887E+00
     304 0.560209E+00 0.665889E+00
     305 0.560636E+00 0.665891E+00
     306 0.560890E+00 0.665893E+00
     307 0.561321E+00 0.665891E+00
     308 0.561752E+00 0.665889E+00
     309 0.562052E+00 0.665889E+00
     310 0.562253E+00 0.665887E+00
     311 0.560849E+00 0.665870E+00
     312 0.559492E+00 0.665858E+00
     313 0.559895E+00 0.665850E+00
     314 0.560343E+00 0.665852E+00
     315 0.560767E+00 0.665853E+00
     316 0.561207E+00 0.665856E+00
     317 0.561588E+00 0.665851E+00
     318 0.561876E+00 0.665843E+00
     319 0.561810E+00 0.665844E+00
     320 0.562098E+00 0.665846E+00
     321 0.562525E+00 0.665847E+00
     322 0.562727E+00 0.665849E+00
     323 0.563123E+00 0.665848E+00
     324 0.563539E+00 0.665846E+00
     325 0.563890E+00 0.665848E+00
     326 0.564196E+00 0.665848E+00
