 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.818421E+01    8 -.837571E+01 0.000000E+00
 0.818421E+01    9 -.827490E+01 0.000000E+00
 0.818421E+01   10 -.817408E+01 0.000000E+00
 0.818421E+01   11 -.807327E+01 0.000000E+00
 0.818421E+01   12 -.797246E+01 0.000000E+00
 0.818421E+01   13 -.787164E+01 0.000000E+00
 0.818421E+01   14 -.777083E+01 0.000000E+00
 0.818421E+01   15 -.767001E+01 0.000000E+00
 0.818421E+01   16 -.756920E+01 0.000000E+00
 0.818421E+01   17 -.746839E+01 0.000000E+00
 0.818421E+01   18 -.736757E+01 0.000000E+00
 0.818421E+01   19 -.726676E+01 0.000000E+00
 0.818421E+01   20 -.716594E+01 0.000000E+00
 0.818421E+01   21 -.706513E+01 0.000000E+00
 0.818421E+01   22 -.696431E+01 0.000000E+00
 0.818421E+01   23 -.686350E+01 0.000000E+00
 0.818421E+01   24 -.676269E+01 0.000000E+00
 0.818421E+01   25 -.666187E+01 0.000000E+00
 0.818421E+01   26 -.656106E+01 0.000000E+00
 0.818421E+01   27 -.646024E+01 0.000000E+00
 0.818421E+01   28 -.635943E+01 0.000000E+00
 0.818421E+01   29 -.625862E+01 0.000000E+00
 0.818421E+01   30 -.615780E+01 0.000000E+00
 0.818421E+01   31 -.605699E+01 0.000000E+00
 0.818421E+01   32 -.595617E+01 0.000000E+00
 0.818421E+01   33 -.585536E+01 0.000000E+00
 0.818421E+01   34 -.575455E+01 0.000000E+00
