 iconf, T, nbar, nbar2, nbar4, nbinder
   4 0.103947E+02 0.308510E+00 0.112372E+00 0.198773E-01 0.475292E+00
   4 0.105789E+02 0.295349E+00 0.103690E+00 0.170674E-01 0.470857E+00
   4 0.107632E+02 0.281016E+00 0.951865E-01 0.147478E-01 0.457430E+00
   4 0.109474E+02 0.269610E+00 0.885002E-01 0.129950E-01 0.446948E+00
   4 0.111316E+02 0.259003E+00 0.824925E-01 0.114674E-01 0.438285E+00
   4 0.113158E+02 0.249628E+00 0.773364E-01 0.102114E-01 0.430891E+00
   4 0.115000E+02 0.240008E+00 0.723414E-01 0.913394E-02 0.418215E+00
   5 0.800000E+01 -.106055E+00 0.359046E-01 0.362421E-02 0.628889E-01
   5 0.818421E+01 -.993455E-01 0.337810E-01 0.323970E-02 0.536811E-01
   5 0.836842E+01 -.936849E-01 0.319324E-01 0.291129E-02 0.482953E-01
   5 0.855263E+01 -.885436E-01 0.300721E-01 0.261156E-02 0.373880E-01
   5 0.873684E+01 -.844472E-01 0.285245E-01 0.236242E-02 0.321679E-01
   5 0.892105E+01 -.804422E-01 0.268744E-01 0.210413E-02 0.288798E-01
   5 0.910526E+01 -.775209E-01 0.254908E-01 0.187882E-02 0.361774E-01
   5 0.928947E+01 -.750586E-01 0.243799E-01 0.175611E-02 0.151617E-01
   5 0.947368E+01 -.727729E-01 0.232693E-01 0.157853E-02 0.282198E-01
   5 0.965789E+01 -.696267E-01 0.221325E-01 0.142080E-02 0.331649E-01
   5 0.984211E+01 -.674974E-01 0.212810E-01 0.132260E-02 0.265324E-01
   5 0.100263E+02 -.659790E-01 0.206057E-01 0.124028E-02 0.263055E-01
   5 0.102105E+02 -.638360E-01 0.197343E-01 0.113771E-02 0.262056E-01
   5 0.103947E+02 -.633241E-01 0.193195E-01 0.108423E-02 0.317083E-01
   5 0.105789E+02 -.595778E-01 0.184941E-01 0.997428E-03 0.279407E-01
   5 0.107632E+02 -.581401E-01 0.180131E-01 0.952229E-03 0.217607E-01
